Question,A,B,C,D,Answer
"Theo tài liệu, hệ thống nào có thể giúp phát hiện lệch chuẩn sớm trong trường hợp lệch phân bố (Hình 5)?",Hệ thống ERP,Hệ thống kiểm soát chất lượng theo thời gian thực,Hệ thống quản trị nhân sự,Hệ thống quản lý kho tự động,B
"Trong trường hợp vượt ngoài giới hạn (Hình 6), hậu quả nào được nhắc đến trong tài liệu?",Chi phí bảo trì thiết bị giảm,Sản phẩm đồng đều hơn,"Sản phẩm bị loại bỏ, gây tổn thất tài chính và mất uy tín thương hiệu",Dung sai kỹ thuật được mở rộng tự động,C
"Theo phần so sánh và tổng hợp, trạng thái nào yêu cầu cải tiến toàn diện?",Hình 1,Hình 2 và Hình 5,Hình 3 và Hình 4,Hình 6,D
"Trong phần lệnh Sketch, công cụ nào được dùng để vẽ đoạn thẳng?",Spline,Arc,Line,Offset,C
"Theo bảng công cụ Sketch, lệnh Circle Tangent được dùng để làm gì?",Vẽ đường tròn biết tâm và bán kính,Vẽ đường tròn tiếp xúc với 3 đối tượng,Vẽ cung tròn qua 3 điểm,Tạo đường tròn đồng tâm,B
Lệnh Fillet trong Sketch có chức năng gì?,Tạo đối xứng đối tượng,Cắt bỏ một phần đối tượng,Vê tròn góc của Sketch,Tạo đường song song,C
"Theo tài liệu, lệnh Offset được dùng để thực hiện thao tác nào?",Quay đối tượng Sketch,Tạo đường thẳng hoặc cong song song cách một khoảng cho trước,Tạo tâm lỗ,Chiếu hình học lên Sketch khác,B
"Khi sử dụng lệnh Extend, nhấn phím Shift có tác dụng gì?",Chuyển sang chế độ Rotate,Tạm thời chuyển sang chế độ Trim,Tăng độ dài đối tượng gấp đôi,Ẩn các ràng buộc Sketch,B
"Theo bảng ràng buộc Sketch, công cụ nào dùng để tạo ràng buộc song song?",=,>_,//,~,C
Lệnh Project Cut Edges có chức năng gì?,Xóa toàn bộ cạnh trong Sketch,Chiếu tất cả các cạnh của chi tiết đã chọn lên mặt phẳng Sketch,Tạo đối tượng đối xứng,Tạo đường cong tiếp xúc,B
"Theo tài liệu, công cụ Extrude được sử dụng để làm gì?",Quay biên dạng quanh một trục,Khoét rỗng chi tiết,Đùn một biên dạng theo phương vuông góc với phác thảo để tạo khối rắn hoặc mô hình mặt,Tạo đường ren trong hoặc ren ngoài,C
Lệnh Revolve có chức năng gì trong tạo mô hình chi tiết?,Đùn biên dạng theo đường dẫn cong,Quay liên tục một biên dạng quanh một trục,Tạo một mặt làm việc,Tạo ma trận chữ nhật Feature,B
"Theo tài liệu, công cụ Loft yêu cầu điều kiện nào?",Phải có ít nhất một mặt cong,Yêu cầu có nhiều mặt phẳng làm việc,Chỉ áp dụng cho mô hình mặt,Bắt buộc dùng với lệnh Revolve,B
Công cụ nào được dùng để tạo đường ren trong hoặc ren ngoài chi tiết?,Shell,Coil,Thread,Sweep,C
"Theo tài liệu, lệnh Circular Pattern dùng để làm gì?",Tạo một Feature theo đường tròn,Tạo đối xứng qua một mặt,Tạo mặt làm việc mới,Khoét rỗng chi tiết,A
Công cụ Pan trong nhóm công cụ quan sát có chức năng gì?,Phóng to mô hình,Hiển thị toàn bộ chi tiết,Di chuyển vị trí mô hình trong cửa sổ đồ họa,Thay đổi hướng quan sát mô hình,C
"Theo mô tả của công cụ Look at, thao tác này dùng để làm gì?",Ẩn toàn bộ đối tượng hình học,Thay đổi hướng quan sát vuông góc với đối tượng hình học được chọn,Tạo một mặt làm việc mới,Phóng to vùng được chọn,B
"Theo tài liệu, Autodesk Inventor duy trì mối quan hệ như thế nào giữa mô hình và bản vẽ?",Chỉ mô hình cập nhật từ bản vẽ,Chỉ bản vẽ cập nhật từ mô hình,Mối quan hệ hai chiều giữa mô hình và bản vẽ,Mô hình và bản vẽ hoàn toàn độc lập,C
"Khi tạo hình chiếu vuông góc trong Autodesk Inventor, người dùng cần sử dụng công cụ nào?",Section View,Projected View,Auxiliary View,Detail View,B
"Theo hướng dẫn tạo hình cắt, sau khi vẽ xong đường cắt người dùng cần chọn lệnh nào trong menu để tiếp tục?",Create,Project,Continue,Finish,C
"Trong Autodesk Inventor, công cụ nào được dùng để thêm một tờ giấy vẽ mới?",Base View,New Sheet,Draft View,Parts List,B
"Theo tài liệu, lệnh Get Model Dimensions có chức năng gì?",Tạo bảng danh mục chi tiết,Hiện các kích thước mô hình song song với mặt phẳng chiếu trong bản vẽ,Tạo hình chiếu phụ,Tự động đánh số chi tiết,B
Công cụ nào trong Drawing Annotation dùng để ghi ký hiệu độ nhám bề mặt?,Weld Symbol,Leader Text,Surface Texture Symbol,Center Mark,C
"Theo bảng công cụ vẽ, Auto Balloon có chức năng gì?",Tạo bảng danh mục chi tiết,Tự động ghi số hiệu cho tất cả chi tiết trong cụm lắp,Tạo chú thích có đường dẫn,Tạo kích thước theo tọa độ,B
"Theo tài liệu Public_521, chiều rộng các nét vẽ được chọn từ dãy kích thước nào sau đây?","0,1; 0,2; 0,4; 0,8; 1,2 mm","0,18; 0,25; 0,35; 0,5; 0,75; 1; 1,4; 2 mm","0,15; 0,3; 0,45; 0,6; 1,2 mm","0,2; 0,4; 0,6; 0,8; 1,6 mm",B
"Theo bảng các loại nét vẽ, nét đứt mảnh được dùng để biểu diễn điều gì?",Đường đối xứng và đường trục,Đường bao thấy,Cạnh khuất và đường bao khuất,Đường cắt,C
"Loại nét nào được sử dụng để biểu diễn đường đối xứng, đường trục và đường tâm?",Nét liền mảnh,Nét đứt đậm,Nét chấm gạch mảnh,Nét cắt đậm,C
"Theo quy tắc ưu tiên khi các nét vẽ khác loại trùng nhau, nét nào có độ ưu tiên cao nhất?",Nét liền mảnh,Nét đứt,Nét chấm gạch mảnh,Nét liền đậm,D
"Đối với đường tròn có đường kính nhỏ hơn 12 mm, tài liệu cho phép dùng loại nét nào thay cho nét chấm gạch mảnh?",Nét đứt mảnh,Nét liền mảnh,Nét cắt đậm,Nét hai chấm gạch mảnh,B
"Theo quy định trong tài liệu, tỷ số chiều rộng giữa nét đậm và nét mảnh trên cùng bản vẽ không được nhỏ hơn bao nhiêu?",1:1,"1,5:1",2:1,3:1,C
"Trong ví dụ các loại nét vẽ, số thứ tự nào tương ứng với nét lượn sóng?",2,3,5,6,B
"Theo tài liệu Public_524, lò xo được sử dụng với mục đích nào sau đây?",Dẫn điện và truyền tín hiệu,"Dự trữ năng lượng, giảm xóc, ép chặt và đo lực",Làm kín các bề mặt tiếp xúc,Truyền nhiệt trong hệ thống cơ khí,B
"Theo mô tả, lò xo xoắn ốc được chia thành những loại nào dựa theo tác dụng của lò xo?","Lò xo trụ, lò xo nón và lò xo đĩa","Lò xo nén, lò xo xoắn và lò xo kéo","Lò xo phẳng, lò xo lá và lò xo đĩa","Lò xo thép, lò xo đồng và lò xo hợp kim",B
Lò xo xoắn phẳng thường được dùng làm gì?,Giảm xóc cho ô tô,Truyền động quay giữa hai trục,Dây cót,Ép chặt chi tiết máy,C
"Theo quy ước vẽ lò xo xoắn trụ hoặc nón có số vòng xoắn lớn hơn 4 vòng, người ta quy định như thế nào?",Vẽ đầy đủ tất cả các vòng xoắn,"Chỉ vẽ một hoặc hai vòng xoắn ở mỗi đầu, các vòng còn lại dùng nét chấm gạch",Chỉ vẽ mặt cắt của lò xo,Bỏ hoàn toàn các vòng xoắn ở giữa,B
"Đối với lò xo có đường kính dây bằng 2 mm hoặc nhỏ hơn, tài liệu quy định vẽ như thế nào?",Vẽ bằng nét đứt mảnh,Vẽ bằng nét chấm gạch,Vẽ bằng nét cơ bản và tô đen mặt cắt,Chỉ vẽ đường tâm của lò xo,C
"Theo tài liệu Public_524, bánh răng côn được dùng để truyền chuyển động giữa các trục như thế nào?",Hai trục song song,Hai trục đồng tâm,Hai trục vuông góc,Hai trục chéo nhau,C
"Theo tài liệu Public_524, ưu điểm nào của truyền động bánh răng cho phép hệ thống hoạt động ổn định?",Có nhiều tiếng ồn khi vận tốc lớn,Tỷ số truyền không thay đổi,Chế tạo tương đối đơn giản,Không yêu cầu độ chính xác cao,B
"Theo tài liệu Publi_566, Microsoft PowerPoint là ứng dụng hỗ trợ chủ yếu cho công việc nào?",Quản lý cơ sở dữ liệu,Thiết kế đồ họa 3D,Trình chiếu và trình diễn,Lập trình ứng dụng web,C
"Trong PowerPoint 2016, chủ đề nào sau đây được nhắc đến như một nhóm chủ đề hỗ trợ sẵn?",Engineering,Business,Programming,Finance Report,B
"Theo hướng dẫn khởi động PowerPoint, tổ hợp phím nào được dùng để mở hộp thoại Run?",Ctrl + R,Alt + R,Windows + R,Shift + R,C
"Để tạo nhanh một Slide mới trong PowerPoint, người dùng có thể sử dụng tổ hợp phím nào?",Ctrl + N,Ctrl + M,Ctrl + S,Ctrl + P,B
"Theo tài liệu, tại mỗi thời điểm trình chiếu PowerPoint sẽ hiển thị bao nhiêu Slide?",Hai Slide,Ba Slide,Toàn bộ Slide,Một Slide,D
"Theo hướng dẫn trình diễn Slide, phím nào được sử dụng để bắt đầu trình chiếu nhanh?",F1,F3,F5,F9,C
"Khi đang trình diễn Slide, người dùng cần nhấn phím nào để thoát khỏi màn hình trình diễn và quay lại màn hình làm việc?",Enter,Esc,Delete,Tab,B
"Theo tài liệu Public_574, linh kiện điện tử được hiểu là gì?",Thiết bị dùng để lưu trữ dữ liệu số,Những bộ phận điện tử cơ bản có thể là một hoặc nhiều thành phần kết nối với nhau,Một loại phần mềm điều khiển mạch điện,Thiết bị chỉ dùng trong hệ thống công nghiệp,B
"Theo tài liệu Public_574, vai trò chính của linh kiện điện tử là gì?",Làm tăng kích thước thiết bị điện,Giúp cải thiện khả năng hoạt động và đảm bảo máy móc chạy hiệu suất tối ưu,Giảm điện áp xuống mức cố định,Chỉ dùng để trang trí bảng mạch,B
"Theo tài liệu Public_574, linh kiện điện tử được phân thành bao nhiêu dòng chính?",2 dòng,3 dòng,4 dòng,5 dòng,B
Loại linh kiện nào sau đây được xếp vào nhóm linh kiện điện cơ?,Điện trở,Tụ điện,Cầu chì,Diode,C
"Theo tài liệu Public_574, linh kiện bị động có đặc điểm nào?",Có khả năng đưa dòng điện vào mạch,Không truyền điện cho mạch nếu không có nguồn nối với mạch xoay chiều,Chỉ hoạt động với nguồn điện một chiều,Luôn cần vi xử lý điều khiển,B
"Theo tài liệu Public_574, transistor thường được sử dụng với chức năng nào?",Lưu trữ dữ liệu dài hạn,Khuếch đại hoặc khóa điện tử,Biến đổi ánh sáng thành nhiệt,Tạo cách điện cho mạch,B
"Theo tài liệu Public_574, cuộn cảm tạo ra hiện tượng gì khi có dòng điện chạy qua?",Phóng điện,Hiệu ứng quang điện,Từ trường,Nhiệt lượng lớn,C
"Theo tài liệu Public_578, tỷ trọng tiêu thụ năng lượng tái tạo trong cơ cấu tổng tiêu thụ năng lượng cuối cùng đã tăng từ bao nhiêu năm 2010 lên bao nhiêu năm 2019?","Từ 5,1% lên 7,6%","Từ 7,1% lên 8,6%","Từ 8,6% lên 10,2%","Từ 6,3% lên 9,1%",B
"Theo tài liệu Public_578, tỷ lệ tiêu dùng điện năng lượng tái tạo năm 2019 đạt bao nhiêu?","17,2%","23,2%","29,1%","31,4%",C
"Theo điều tra năm 2020, vùng Trung du miền núi phía Bắc có bao nhiêu thôn chưa có điện?",457 thôn,547 thôn,619 thôn,682 thôn,B
"Theo bảng số liệu, tỉnh nào trong vùng Trung du miền núi phía Bắc có số thôn chưa có điện cao nhất?",Sơn La,Hà Giang,Điện Biên,Cao Bằng,C
"Theo tài liệu Public_578, một trong những nguyên nhân hạn chế việc phát triển sử dụng thiết bị năng lượng mặt trời tại vùng TDMNPB là gì?",Nguồn điện lưới quốc gia quá dư thừa,Người dân thiếu cơ hội tiếp cận và tìm hiểu công nghệ năng lượng mặt trời,Không có doanh nghiệp cung cấp thiết bị,Thiếu hoàn toàn tiềm năng thủy điện nhỏ,B
"Theo tài liệu Public_578, cơ chế khuyến khích phát triển điện mặt trời được ban hành theo quyết định nào?",Quyết định số 24/2014/QĐ-TTg,Quyết định số 39/2018/QĐ-TTg,Quyết định số 11/2017/QĐ-TTg,Quyết định số 37/2011/QĐ-TTg,C
"Theo kết quả khảo sát chuyên gia, loại năng lượng tái tạo nào được đánh giá có khả năng tiếp cận khá với giá trị trung bình 3.27?",Năng lượng gió,Năng lượng mặt trời,Thủy điện nhỏ,Năng lượng sinh khối,D
Đặc tính nào được dùng để đánh giá khả năng chịu điện áp của vật liệu cách điện mà không bị đánh thủng?,Độ bền về điện,Hằng số điện môi,Góc tổn hao,Tỷ trọng,A
"Vật liệu nào có điện trở suất khoảng 0,0175 Wmm²/m và chủ yếu được dùng làm dây dẫn?",Nhôm,Đồng đỏ hay đồng kỹ thuật,Thau,Sắt,B
Loại vật liệu dẫn điện nào thường được dùng làm dây điện trở nung nóng?,Maganin,Contantan,Niken - Crôm,Thiếc,C
Hợp kim chất hàn được mô tả gồm 60% thiếc và 40% chì có đặc điểm gì?,Có nhiệt độ nóng chảy cao hơn từng kim loại thành phần,Có nhiệt độ nóng chảy thấp hơn từng kim loại thiếc và chì,Chỉ dùng cho dây dẫn công suất lớn,Không thích hợp để hàn linh kiện điện tử,B
Vật liệu cách điện nào có khả năng chịu nhiệt độ khoảng 1500-1700°C và thường dùng làm giá đỡ cách điện cho đường dây dẫn?,Thuỷ tinh,Mi ca,Sứ,Bakêlit,C
Vật liệu nào được dùng để làm vỏ bọc dây dẫn và làm tấm cách điện?,Cao su,Lụa cách điện,Pretspan,Paraphin,A
"Trong các vật liệu dẫn điện dưới đây, vật liệu nào có nhiệt độ nóng chảy cao nhất?",Sắt,Niken - Crôm,Nicken,Đồng đỏ,A
Doanh nghiệp phân tích tình hình biến động tài sản cố định bằng cách nào?,So sánh số cuối kỳ và số đầu năm về nguyên giá và tỷ trọng từng loại tài sản cố định,So sánh doanh thu với chi phí bảo trì tài sản cố định,Đánh giá số lượng lao động sử dụng tài sản cố định,So sánh lợi nhuận với tổng chi phí sản xuất,A
Tài sản cố định dùng trong sản xuất của doanh nghiệp đã tăng bao nhiêu phần trăm vào cuối năm?,"+32,0%","+45,2%","+12,2%","+88,6%",B
Khoản mục nào có mức tăng tỷ lệ lớn nhất trong bảng phân tích biến động tài sản cố định?,Tài sản cố định dùng cho bán hàng,Tài sản cố định dùng ngoài sản xuất,Phương tiện kỹ thuật,Tài sản cố định cho quản lý,C
Hệ số hao mòn tài sản cố định được xác định bằng công thức nào?,H = NG / HM,H = HM / NG,H = Gs / Ng,H = Ng / Gs,B
Nếu hệ số hao mòn tài sản cố định càng gần 1 thì điều đó cho thấy điều gì?,Tài sản cố định còn rất mới,Doanh nghiệp sử dụng tài sản cố định rất hiệu quả,Tài sản cố định của doanh nghiệp càng cũ và cần đổi mới,Nguyên giá tài sản cố định đang giảm mạnh,C
Hiệu suất sử dụng tài sản cố định năm nay của doanh nghiệp là bao nhiêu?,"65,2","68,4","77,292","12,9",B
"Theo phân tích mức độ ảnh hưởng của các nhân tố, hiệu suất sử dụng tài sản cố định đã làm giá trị sản xuất tăng thêm bao nhiêu triệu đồng?",5.216 triệu đồng,8.832 triệu đồng,3.616 triệu đồng,1.130 triệu đồng,C
STEM là thuật ngữ viết tắt của những lĩnh vực nào?,"Science, Technology, Engineering và Mathematics","Science, Teaching, Economics và Mathematics","Social, Technology, Engineering và Management","Science, Technology, Environment và Mechanics",A
Giáo dục STEM nhằm mục tiêu chính nào đối với học sinh?,Trang bị kỹ năng ghi nhớ lý thuyết thuần túy,Phát triển năng lực phát hiện và giải quyết vấn đề gắn với thực tiễn,Tăng thời lượng học các môn xã hội,Thay thế hoàn toàn phương pháp dạy học truyền thống,B
Quy trình xây dựng bài giảng điện tử E-learning gồm bao nhiêu bước?,4 bước,5 bước,6 bước,7 bước,C
Ưu điểm nào của E-learning cho phép học viên lựa chọn phương pháp học phù hợp với thời gian biểu cá nhân?,Nội dung học tập được cập nhật thường xuyên,Hệ thống hỗ trợ học theo khả năng cá nhân và linh động thời gian,Giáo viên dễ dàng theo dõi học viên,Giảm tổng thời gian cần thiết cho việc học,B
"Trong thực nghiệm sư phạm, có bao nhiêu học sinh lớp thực nghiệm đạt mức điểm từ 8 đến 8,7?",11 học sinh,13 học sinh,41 học sinh,54 học sinh,C
Giá trị trung bình điểm kiểm tra của lớp thực nghiệm (TN) là bao nhiêu?,"6,192","7,804","1,2199","0,543",B
"Theo kết quả phân tích thực nghiệm, giá trị p của phép kiểm chứng t-test là bao nhiêu?","1,20.10-5","0,543","3,6.10-7","0,05",C
"Theo mô hình 5Vs của Big Data do Gartner đưa ra năm 2014, chữ V nào thể hiện sự gia tăng về tốc độ xử lý dữ liệu?",Volume,Velocity,Variety,Veracity,B
"Theo IBM, khoảng bao nhiêu phần trăm dữ liệu trên thế giới là dữ liệu phi cấu trúc hoặc bán cấu trúc?",20%,40%,60%,80%,D
Hadoop Distributed File System (HDFS) có đặc điểm nào sau đây?,Mỗi file chỉ được lưu trên một node duy nhất,Mỗi block của file được lưu thành nhiều bản sao để đảm bảo an toàn dữ liệu,Chỉ hỗ trợ dữ liệu có cấu trúc,Không sử dụng block ID để nhận diện dữ liệu,B
"Trong MapReduce, giai đoạn nào thực hiện việc gom nhóm tất cả value theo intermediate key?",Map,Shuffle,Reduce,Split,C
"Trong dữ liệu COVID-19, trường nào dùng để lưu số cá nhân từ chối tiêm vắc xin?",UnknownDose,SecondDose,FirstDoseRefused,Denominator,C
Kết quả truy vấn tỷ lệ tiêm chủng cho quốc gia DK là bao nhiêu?,75.7%,86.66%,87.99%,92.28%,C
"Trong thực nghiệm so sánh SQL Server và Hortonworks Sandbox, ở lần xử lý thứ 31 điều gì xảy ra với SQL Server?",Cho kết quả sau 18m 50s,Dung lượng lưu trữ vượt 30 GB,Báo lỗi khi xử lý dữ liệu,Có thời gian xử lý nhanh hơn HWS,C
Khu công nghiệp nào tại Dĩ An được đề cập là đã có hệ thống thu gom và nhà máy xử lý nước thải?,Khu công nghiệp VSIP 1,Khu công nghiệp Sóng Thần 1 và 2,Khu công nghiệp Mỹ Phước,Khu công nghiệp Nam Tân Uyên,B
Phạm vi dự án III được đề xuất có tổng diện tích bao nhiêu hecta?,1.200 ha,1.600 ha,2.000 ha,6.010 ha,B
"Theo kế hoạch năm 2020, công suất của nhà máy xử lý nước thải thuộc dự án III là bao nhiêu?",10.000 m3/ngày,15.000 m3/ngày,30.000 m3/ngày,60.000 m3/ngày,B
Khu vực nào được dự báo có số dân được thu gom nước thải vào năm 2035 cao nhất?,An Bình,Dĩ An,Đông Hòa,Tân Đông Hiệp,B
"Theo dự báo năm 2035, tổng lưu lượng nước thải của dự án III là bao nhiêu m3/ngày?",14.687 m3/ngày,32.217 m3/ngày,60.311 m3/ngày,89.000 m3/ngày,C
Chi phí xây dựng hệ thống ống trong dự án được dự toán khoảng bao nhiêu?,400.285.000.000 VND,224.410.522.000 VND,1.179.647.300.000 VND,160.293.230.000 VND,C
Nguồn vốn JICA chiếm bao nhiêu phần trăm tổng mức đầu tư của dự án?,60%,70%,85%,90%,C
"Năm 2017, tốc độ tăng trưởng GRDP của tỉnh Bắc Giang đạt bao nhiêu phần trăm?","6,81%","10,5%","13,3%","20,6%",C
"Đến năm 2025, dân số đô thị toàn tỉnh Bắc Giang được dự báo khoảng bao nhiêu người?",371.800 người,659.500 người,857.700 người,1.880.000 người,B
"Theo tài liệu, tỷ lệ rác thải sinh hoạt được thu gom tại các đô thị của tỉnh đạt khoảng bao nhiêu?","80,3%","83,5%","92,2%","95,8%",D
Công nghệ nào được mô tả là cốt lõi để sử dụng và phát triển Internet vạn vật (IoT) và trí tuệ nhân tạo (AI)?,Điện toán đám mây,Blockchain,Dữ liệu lớn (Big Data),Mạng 5G,C
"Theo đánh giá hiện trạng, Bắc Giang đã cung cấp bao nhiêu dịch vụ công mức độ 3 phục vụ người dân và doanh nghiệp?",230 dịch vụ,667 dịch vụ,1208 dịch vụ,1850 dịch vụ,B
"Trong các điểm yếu được nêu, vấn đề nào được cho là còn hạn chế trong triển khai ứng dụng công nghệ thông tin tại các cơ quan, đơn vị?",Thiếu mạng Internet tốc độ cao,Thiếu các phần mềm chuyên ngành và cơ sở dữ liệu liên thông,Không có cổng thông tin điện tử,Chưa triển khai chữ ký số,B
"Theo bộ chỉ tiêu đề xuất cho tỉnh Bắc Giang, mục tiêu tỷ lệ hồ sơ hành chính nộp qua mạng của tổ chức và người dân là bao nhiêu?","0,5%",10%,30%,50%,B
Khi vật liệu SAS: Eu3+ được thiêu kết ở 1250°C trong bao lâu thì chỉ còn tồn tại pha Sr2Al2SiO7?,30 min,60 min,90 min,120 min,D
"Trong khảo sát ảnh hưởng của hàm lượng B2O3, vật liệu chỉ tồn tại một pha Sr2Al2SiO7 khi hàm lượng chất chảy nằm trong khoảng nào?",1–2 %kl sản phẩm,2–3 %kl sản phẩm,4–5 %kl sản phẩm,6–7 %kl sản phẩm,C
Cấu trúc tinh thể của hệ vật liệu Ca2Al2SiO7 được xác định thuộc pha nào?,Lập phương (Cubic),Tứ giác (Tetragonal),Lục giác (Hexagonal),Trực thoi (Orthorhombic),B
"Trong bảng các hệ vật liệu chế tạo, hệ nào dưới đây được nghiên cứu với nồng độ từ 0,25 đến 4,0 %mol?",Eu3+ (x CAS: %mol),Sm3+ (x CAS: %mol),Ce3+ (x CAS: %mol),CAS: Tb3+ (x %mol),C
"Theo kết luận chương 2, nhiệt độ thiêu kết tối ưu để chế tạo hệ vật liệu CAS là bao nhiêu?",1200°C,1250°C,1280°C,1350°C,C
Quy trình chế tạo vật liệu SAS của nghiên cứu đã giảm được bao nhiêu độ C nhiệt độ thiêu kết so với công bố của nhóm Jadhaw năm 2017?,50°C,100°C,150°C,200°C,C
"Trong luận án, các hệ vật liệu CAS: RE3+ được nghiên cứu với các nguyên tố đất hiếm nào?","La, Nd, Pr, Gd, Yb","Sm, Dy, Ce, Tb, Eu","Er, Ho, Tm, Lu, Y","Ce, Yb, Sc, In, Ga",B
Louis Pasteur phát hiện nấm men là tác nhân gây lên men rượu vào năm nào?,1780,1810,1836,1854,D
"Đầu những năm 1980, dạng nấm men nào được nghiên cứu và sử dụng phổ biến trong sản xuất rượu vang?",Nấm men lỏng tự nhiên,Nấm men dạng kem,Sinh khối nấm men S. cerevisiae dạng khô,Nấm men nuôi trên môi trường thạch,C
Kích thước tế bào của nấm men Saccharomyces sử dụng trong công nghiệp thường nằm trong khoảng nào?,(1 - 2) × (2 - 4) μm,(3 - 5) × (5 - 10) μm,(8 - 10) × (12 - 15) μm,(15 - 20) × (20 - 25) μm,B
"Trong thành phần các chất hữu cơ cơ bản của tế bào nấm men, protein thô chiếm khoảng bao nhiêu phần trăm?",30-37%,42-46%,50-52%,6-8%,C
Giống dứa nào trong bảng thành phần hóa học có hàm lượng saccharose cao nhất?,Dứa Long An,Dứa Victoria nhập nội,Dứa hoa Vĩnh Phú,Dứa hoa Tuyên Quang,D
Độ rượu của brandy thường nằm trong khoảng nào?,10 – 20% V/V ethanol,20 – 35% V/V ethanol,40 – 60% V/V ethanol,65 – 80% V/V ethanol,C
"Theo bảng chỉ tiêu hóa học TCVN 7043:2013, hàm lượng methanol tối đa cho phép trong rượu chưng cất là bao nhiêu?",200 mg/l cồn,500 mg/l cồn,1000 mg/l cồn,2000 mg/l cồn,D
"Trong nghiên cứu, nước ép dứa được bổ sung bao nhiêu g/l saccharose để đạt đường tổng?",100 g/l,200 g/l,300 g/l,400 g/l,C
Môi trường Hansen rắn dùng để phân lập và giữ giống nấm men có pH bao nhiêu?,"4,0","5,0","5,5","6,5",C
Chủng nấm men được tuyển chọn trong nghiên cứu có đặc tính nổi bật nào?,Khả năng tạo màu cao,Lên men mạnh và hương thơm đặc trưng,Sinh trưởng ở nhiệt độ thấp,Khả năng tạo methanol cao,B
Thiết bị nào được sử dụng để phân tích sắc kí khí khối phổ trong nghiên cứu?,UV-VIS 1800 Shimadzu,Gel Doc XR+,QP2010 Shimadzu,T100 Thermal Cycler,C
"Trong bảng mẫu thử xác định furfurol, bình nào chứa 8,0 ml dung dịch furfurol chuẩn?",Bình 3,Bình 4,Bình 5,Bình 6,D
Hiệu suất lên men được tính bằng công thức nào?,Lượng rượu lý thuyết / Lượng rượu thực tế × 100,Lượng đường thực tế / Lượng đường lý thuyết × 100,Lượng rượu thực tế / Lượng rượu lý thuyết × 100,Lượng ethanol tạo thành / Tổng acid × 100,C
"Theo tiêu chuẩn cảm quan TCVN 3217-79, sản phẩm có mùi “Hòa hợp, thơm dịu, hoàn toàn đặc trưng cho sản phẩm” được chấm bao nhiêu điểm?",3 điểm,4 điểm,5 điểm,0 điểm,C
"Theo số liệu nguồn cung cấp, hệ số công suất trung bình trên thanh góp cao áp của nguồn điện bằng bao nhiêu?","0,75","0,80","0,85","0,90",C
Phụ tải nào có công suất cực đại lớn nhất trong các hộ tiêu thụ?,Phụ tải 1,Phụ tải 3,Phụ tải 4,Phụ tải 6,B
"Điện áp định mức lưới điện hạ áp của các hộ tiêu thụ 4, 5 và 6 là bao nhiêu?",6 kV,10 kV,22 kV,35 kV,B
"Trong chế độ MAX, phụ tải 4 có công suất phản kháng Q bằng bao nhiêu MVAr?","12,10805262 MVAr","13,56101894 MVAr","16,95127367 MVAr","8,717797887 MVAr",B
"Theo nội dung cân bằng công suất phản kháng, hệ thống điện có cần bù công suất phản kháng không?",Cần bù toàn bộ phụ tải,Chỉ cần bù trong chế độ sự cố,Không cần bù vì nguồn cung cấp đủ công suất phản kháng,Chỉ cần bù cho phụ tải loại I,C
"Đối với phụ tải loại I, phương án nối dây phải đáp ứng yêu cầu nào?",Chỉ cần một đường dây để giảm chi phí,Cho phép gián đoạn điện ngắn hạn,Có đường dây dự phòng như hai đường dây song song hoặc mạch vòng kín,Chỉ sử dụng lưới điện hạ áp 10 kV,C
Loại dây ACSR nào trong bảng thông số có điện trở r0 nhỏ nhất?,ACSR-70,ACSR-95,ACSR-185,ACSR-240,D
"Đến tháng 5/2020, số thuê bao băng rộng di động trên 100 dân đạt bao nhiêu?",55.39 thuê bao/100 dân,62.83 thuê bao/100 dân,67.71 thuê bao/100 dân,47.90 thuê bao/100 dân,C
"Tính đến 30/6/2020, tên miền quốc gia "".vn"" đạt khoảng bao nhiêu tên miền?",412.700 tên miền,512.700 tên miền,612.700 tên miền,712.700 tên miền,B
"Theo số liệu năm 2019, tổng doanh thu toàn ngành viễn thông đạt mức nào?","369,7 nghìn tỷ đồng","469,7 nghìn tỷ đồng","569,7 nghìn tỷ đồng","669,7 nghìn tỷ đồng",B
Doanh nghiệp nào được cấp phép thử nghiệm mạng và dịch vụ viễn thông sử dụng công nghệ 5G?,"Viettel, Mobifone và VNPT","FPT Telecom, CMC Telecom và SCTV","Vietnamobile, Gtel và NetNam","VNPost, EVN Telecom và S-Fone",A
"Năm 2017, chỉ số HHI của thị trường di động Việt Nam xấp xỉ bao nhiêu?",2600,3000,3600,4200,C
"Đến tháng 6/2020, tỷ lệ ứng dụng IPv6 trên mạng Internet Việt Nam đạt mức nào?",22%,34%,44%,54%,C
Một trong những hạn chế được nêu về cơ cấu doanh thu dịch vụ viễn thông là gì?,Doanh thu từ dữ liệu đã vượt 90% tổng doanh thu,Doanh thu thoại và tin nhắn vẫn chiếm khoảng 70% tổng doanh thu dịch vụ viễn thông,Doanh thu từ dịch vụ vệ tinh giảm xuống dưới 5%,Doanh thu từ Mobile Money chiếm tỷ trọng lớn nhất thị trường,B
Một giải pháp được đánh giá là đạt đối với tính năng có nhiều tiêu chí kỹ thuật khi nào?,Khi đạt ít nhất 50% tiêu chí kỹ thuật,"Khi đạt tất cả các tiêu chí, chỉ tiêu kỹ thuật",Khi đạt các tiêu chí quan trọng do người dùng lựa chọn,Khi đạt tối thiểu một tiêu chí kỹ thuật,B
