question_index,question,llm_answer,gt_answer,is_correct,context_tokens
30,"Trong các tiêu chuẩn ISO/IEC liên quan đến đo lường và đánh giá sự phù hợp, tiêu chuẩn nào cung cấp từ vựng quốc tế về đo lường và định nghĩa thuật ngữ độ chệch?",B,B,✓,198
31,Nội dung chính của tiêu chuẩn ISO 15189:2022 là gì?,B,B,✓,493
32,"Theo Public_007, “khoảng tham chiếu sinh học” thường được định nghĩa ở mức bao nhiêu phần trăm giá trị tập trung?",A,A,✓,82
33,Giám đốc phòng xét nghiệm theo ISO 15189:2022 có thể ủy quyền nhiệm vụ cho ai?,B,B,✓,229
34,ISO 15189:2022 yêu cầu thiết lập và theo dõi những chỉ số chất lượng nào?,C,C,✓,313
35,"Theo tài liệu Public_008, các yêu cầu đúng khi lựa chọn, vận hành và bảo dưỡng thiết bị phòng xét nghiệm là gì?",A,A,✓,517
36,Nội dung chính của phần tiêu chuẩn trong tài liệu là gì?,B,B,✓,501
37,"Nếu phòng xét nghiệm có 500 mẫu xét nghiệm trong tháng, trong đó có 25 mẫu bị từ chối, tỷ lệ từ chối mẫu là bao nhiêu?",A,A,✓,116
38,Học phần Những nguyên lý cơ bản của Chủ nghĩa Mác – Lênin thuộc khối kiến thức nào?,A,A,✓,141
39,Học phần Nhập môn ngành CNTT trang bị cho sinh viên những kỹ năng nào ngoài kiến thức chuyên ngành?,C,C,✓,376
40,"Học phần nào vừa giúp sinh viên năm nhất làm quen với môi trường đại học và kiến thức cơ bản ngành CNTT, vừa rèn luyện các kỹ năng mềm và chuẩn mực đạo đức cần thiết để trở thành kỹ sư công nghệ thông tin?",C,C,✓,226
41,Nội dung chính của tài liệu Public_009 là gì?,B,B,✓,670
42,"Theo quy định tại tài liệu Public_009, nếu một học phần có cấu trúc 3(2:1:6) thì số tiết lý thuyết, thực hành và tự học lần lượt là bao nhiêu?",C,C,✓,112
43,"Theo tiêu chuẩn ISO 15189:2022, việc lưu giữ hồ sơ phòng xét nghiệm nhằm mục đích chính nào?",C,C,✓,292
44,"Khi xảy ra sự không phù hợp, hành động đầu tiên mà phòng xét nghiệm phải thực hiện theo ISO 15189:2022 là gì?",A,A,✓,350
45,"Theo hướng dẫn về kiểm soát hồ sơ, phòng xét nghiệm phải đảm bảo điều gì khi sửa đổi hồ sơ?",A,A,✓,190
46,Nội dung chính của phần 8 trong tiêu chuẩn ISO 15189:2022 là gì?,C,C,✓,448
47,Mạng GAN (Global Area Network) là gì?,C,C,✓,468
48,Thành phần nào có chức năng giao tiếp giữa máy tính và đường truyền trong mạng máy tính?,B,B,✓,174
49,Mạng máy tính được phân loại theo những tiêu chí nào và Internet ban đầu ra đời từ mục đích gì?,A,A,✓,386
50,Nội dung chính của tài liệu Public_011 là gì?,B,B,✓,593
51,"Với một mạng kết nối 200 máy tính và có bán kính hoạt động 500m trong một tòa nhà, phân loại mạng chính xác nhất của nó là gì?",A,A,✓,137
52,Hệ điều hành có nhiệm vụ gì?,B,B,✓,357
53,"Theo tài liệu, ký hiệu đại diện * trong tên tệp có ý nghĩa gì?",C,C,✓,146
54,Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,A,A,✓,244
55,Nội dung chính của tài liệu là gì?,D,B,✗,545
56,"Nếu Windows XP quản lý cho phép đặt tên tập tin dài tối đa 255 ký tự, còn MS-DOS chỉ cho phép tối đa 8 ký tự, thì Windows XP dài hơn bao nhiêu ký tự?",C,C,✓,86
57,Thế hệ máy tính điện tử nào sử dụng bóng đèn điện tử chân không?,A,A,✓,105
58,Thuật ngữ “Tin học” (Informatics) lần đầu tiên được đề xuất bởi ai?,B,B,✓,124
59,Thông tin khác dữ liệu ở điểm nào và quá trình xử lý thông tin theo máy tính gồm những bước nào?,A,A,✓,656
60,Nội dung chính của tài liệu là gì?,A,B,✗,445
61,"Nếu một máy tính thế hệ 2 có tốc độ trung bình 50.000 phép tính/giây, thì nó nhanh gấp bao nhiêu lần so với máy thế hệ 1 tốc độ trung bình 1.000 phép tính/giây?",C,C,✓,181
62,Bit là viết tắt của từ gì?,A,A,✓,93
63,"Trong hệ đếm thập lục phân, ký tự “F” biểu diễn giá trị thập phân nào?",C,C,✓,125
64,"Trong máy tính, mọi dữ liệu được biểu diễn dưới dạng gì và đơn vị thông tin nhỏ nhất là gì?",B,B,✓,204
65,Nội dung chính của tài liệu là gì?,"A,C",B,✗,646
66,"Nếu dùng 8 bit để biểu diễn số nguyên không dấu, giá trị lớn nhất có thể biểu diễn là bao nhiêu?",C,C,✓,182
67,Khối nào trong CPU có nhiệm vụ thực hiện các phép tính số học và logic?,B,B,✓,232
68,Bộ nhớ nào lưu trữ chương trình hệ thống và không bị mất dữ liệu khi tắt máy?,A,A,✓,165
69,CPU gồm những bộ phận chính nào và bộ nhớ chính của máy tính được chia thành những loại nào?,B,B,✓,401
70,Nội dung chính của tài liệu là gì?,C,B,✗,680
71,"Nếu một CPU có 36 bit địa chỉ, dung lượng tối đa của bộ nhớ chính mà nó quản lý được là bao nhiêu?",C,C,✓,121
72,Tiêu chuẩn TCVN 9395:2012 áp dụng cho loại cọc nào?,B,B,✓,77
73,Dung dịch khoan bentonite có vai trò chính gì trong thi công cọc khoan nhồi?,A,A,✓,385
74,"Theo TCVN 9395:2012, tiêu chuẩn này áp dụng cho loại cọc nào và từ đường kính bao nhiêu trở lên?",B,B,✓,76
75,Nội dung chính của tiêu chuẩn TCVN 9395:2012 là gì?,C,C,✓,529
76,"Nếu trong quá trình khoan, cao độ dung dịch khoan phải luôn cao hơn mực nước ngầm ít nhất 1,5 m, giả sử mực nước ngầm ở -10 m thì cao độ dung dịch khoan tối thiểu phải đạt bao nhiêu?",B,B,✓,138
77,"Theo TCVN 5574:2018, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện dựa trên những trạng thái giới hạn nào?",B,B,✓,308
78,Các loại bê tông nào được phép sử dụng khi thiết kế kết cấu theo TCVN 5574:2018?,D,"A,B,C,D",✗,224
79,"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",A,A,✓,472
80,Nội dung chính của tiêu chuẩn TCVN 5574:2018 là gì?,B,B,✓,424
81,"Nếu một dầm bê tông cốt thép có nhịp 6 m, theo TCVN 5574:2018 độ võng tối đa cho phép là 1/150 nhịp, giá trị võng lớn nhất cho phép là bao nhiêu?",C,C,✓,133
82,Tiêu chuẩn TCVN 5574:2018 áp dụng cho những loại bê tông nào?,C,"A,B,C,D",✗,385
83,Tiêu chuẩn TCVN 5574:2018 không áp dụng để thiết kế loại kết cấu nào sau đây?,C,C,✓,332
84,"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được tiến hành theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",A,A,✓,428
85,Nội dung chính của phần yêu cầu chung đối với kết cấu bê tông và bê tông cốt thép trong TCVN 5574:2018 là gì?,B,B,✓,484
86,"Nếu một cấu kiện bê tông làm việc trong môi trường xâm thực, theo TCVN 5574:2018, cần đảm bảo thêm yêu cầu gì ngoài an toàn và sử dụng bình thường?",C,C,✓,441
87,Bộ phận nào trong hệ thống chống sét có nhiệm vụ thu sét trực tiếp?,A,A,✓,117
88,Quốc gia nào là nước đầu tiên công bố Kế hoạch chiến lược trí tuệ nhân tạo quốc gia và vào năm nào?,B,B,✓,82
89,Nội dung chính của TCVN 9385:2012 là gì?,B,B,✓,516
90,"Một công trình cao 30 m cần bảo vệ chống sét trực tiếp. Theo bán kính bảo vệ của kim thu sét (r = 1,5h), bán kính bảo vệ tối đa là bao nhiêu?",C,"C,D",✗,110
91,Chiều dày màng khô của lớp phủ chống cháy được xác định bằng cách nào?,B,B,✓,360
92,Loại đầu đo nhiệt nào được ưu tiên sử dụng trong thử nghiệm cấu kiện thép?,C,C,✓,304
93,"Theo quy định, chiều dày màng khô của vật liệu bảo vệ được đo bằng nguyên tắc nào và loại đầu đo nhiệt nào được ưu tiên sử dụng khi thử nghiệm trên cấu kiện thép?",C,C,✓,256
94,Nội dung chính của tài liệu là gì?,"A,C,D",B,✗,582
95,"Theo quy định, cần bao nhiêu phép đo chiều dày tối thiểu trên dầm chịu tải?",C,C,✓,64
96,Bộ mã chuẩn nào đã được chọn cho tiếng Việt trong CNTT?,C,B,✗,154
97,"Trong xử lý ngôn ngữ, bài toán nào có mục tiêu chuyển văn bản thành tiếng nói?",C,C,✓,188
98,"Theo tài liệu Public_021, khi đo chiều dày màng khô của vật liệu bảo vệ, nguyên tắc nào được áp dụng và liệu có yêu cầu về đường kính vỏ bọc tối thiểu ưu tiên của đầu đo nhiệt liên quan đến quy trình này không?",C,C,✓,134
99,Nội dung chính của tài liệu là gì?,A,B,✗,469
100,"Theo đánh giá, hiện có bao nhiêu phần trăm dữ liệu không cấu trúc trong tổng lượng dữ liệu của loài người?",C,C,✓,129
101,Chiều dày lớp bảo vệ chịu lửa được định nghĩa như thế nào?,C,C,✓,373
102,"Theo tài liệu Public_022, các thử nghiệm chịu lửa được áp dụng cho những loại tiết diện thép nào và không áp dụng cho loại nào?",C,C,✓,238
103,Nội dung chính của tiêu chuẩn TCVN xxxx:202x là gì?,"A,B,C",B,✗,468
104,"Theo quy định, mẫu thử nghiệm dầm chịu tải phải chịu tải trọng bằng bao nhiêu phần trăm sức kháng mô men thiết kế?",C,C,✓,112
105,Chiều dày vật liệu bọc bảo vệ dạng bản hoặc tấm được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,B,B,✓,122
106,"Đối với lớp phủ dạng phản ứng, độ dày trung bình được xác định như thế nào?",C,C,✓,230
107,Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,A,A,✓,248
108,Nội dung chính của tài liệu Public_023 là gì?,B,B,✓,636
109,Khối lượng riêng của vật liệu bảo vệ dạng thụ động được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,C,C,✓,169
110,"Theo tài liệu Public_024, thực phẩm được định nghĩa là gì?",B,B,✓,310
111,Thực phẩm giàu protein thường có trong nhóm nguyên liệu nào?,C,C,✓,133
112,Thực phẩm là gì? Thực phẩm chức năng dùng chủ yếu để làm gì?,B,B,✓,365
113,Nội dung chính của phần “Khái quát về thực phẩm và công nghệ thực phẩm” là gì?,A,A,✓,505
114,"Nếu một người tiêu dùng mua 100g bánh mì (giàu glucid ~50%) và 100g cá (giàu protein ~20%), thì lượng glucid và protein người đó nạp vào lần lượt là bao nhiêu gam?",C,C,✓,145
115,Định nghĩa của chiếu xạ thực phẩm trong tài liệu Public_025 là gì?,B,B,✓,312
116,Tia bức xạ nào hiện nay được sử dụng phổ biến trong công nghiệp thực phẩm?,C,C,✓,396
117,Chiếu xạ thực phẩm về mặt cơ sở khoa học là gì? Và mục đích công nghệ chủ yếu hiện nay của chiếu xạ thực phẩm là gì?,A,A,✓,414
118,Nội dung chính của phần “Chiếu xạ trong công nghiệp thực phẩm” là gì?,A,A,✓,449
119,"Nếu một loại trái cây được xử lý bằng liều chiếu xạ 2 kGy, trong khi mức 1 kGy không làm mất vitamin C còn mức 2–4 kGy làm giảm mạnh vitamin C, thì loại trái cây đó có nguy cơ bị giảm giá trị dinh dưỡng như thế nào?",C,C,✓,245
120,Xơ dệt được phân loại theo nguồn gốc thành mấy nhóm chính?,B,B,✓,185
121,"Theo tài liệu Public_026, thành phần chính của xơ len là gì?",C,C,✓,56
122,Nội dung chính của chương 1 trong tài liệu `Public_026` là gì?,B,B,✓,649
123,Nếu một sợi có chiều dài 1000 m và khối lượng 20 g thì chỉ số Tex của sợi đó bằng bao nhiêu?,C,C,✓,88
124,Thành phần chính của xơ bông là gì?,B,B,✓,226
125,Nhiệt độ chuyển mềm của len thường nằm trong khoảng nào?,D,C,✗,181
126,Nội dung chính của tài liệu Public_027 là gì?,B,B,✓,506
127,"Nếu sợi bông có độ ẩm hoàn toàn khô là 8 g, khi hút ẩm đạt khối lượng 8,8 g thì độ ẩm tương đối của sợi là bao nhiêu?",C,C,✓,125
128,Ai là những nhà khoa học được ghi nhận phát minh ra transistor lưỡng cực vào năm 1947?,C,C,✓,74
129,Transistor NPN có các cực được sắp xếp như thế nào?,B,B,✓,137
130,Transistor được tạo thành từ mấy lớp bán dẫn và ba người nào được ghi nhận là những nhà phát minh ra nó?,A,A,✓,122
131,Nội dung chính của tài liệu Public_028 là gì?,B,B,✓,406
132,"Nếu bộ phát (Emitter) bị pha tạp nặng, Base pha tạp nhẹ và Collector pha tạp vừa phải, thì vùng nghèo kiệt sẽ mở rộng nhiều hơn về phía nào?",C,C,✓,346
133,Vật liệu nào phổ biến nhất được sử dụng làm chất bán dẫn cơ bản?,A,A,✓,172
134,Quá trình thêm tạp chất vào chất bán dẫn để cải thiện tính dẫn điện gọi là gì?,B,B,✓,334
135,Chất bán dẫn tinh khiết là gì và hiện tượng pha tạp (doping) có tác dụng gì?,A,A,✓,334
136,Nội dung chính của tài liệu là gì?,D,B,✗,608
137,"Nếu một tinh thể silicon có tỷ lệ doping là 1 nguyên tử tạp chất trên 10 triệu nguyên tử Si, thì khi thêm 100 nguyên tử tạp chất, số nguyên tử Si xấp xỉ bao nhiêu?",C,C,✓,246
138,Đơn vị đo điện dung của tụ điện là gì?,A,A,✓,194
139,Hằng số điện môi ε₀ trong chân không có giá trị bao nhiêu?,B,B,✓,57
140,Tụ điện là gì và điện dung của tụ được tính theo công thức nào?,A,A,✓,450
141,Nội dung chính của tài liệu Public_030 là gì?,B,B,✓,545
142,"Một tụ điện phẳng có A = 10 m², d = 5 m, điện môi là không khí (εr = 1). Hãy tính điện dung C.",D,D,✓,294
143,Đơn vị đo điện trở là gì?,A,A,✓,286
144,Ký hiệu điện trở theo tiêu chuẩn IEC có dạng nào?,B,B,✓,94
145,Điện trở là gì và tại sao được gọi là linh kiện thụ động?,B,B,✓,440
146,Nội dung chính của tài liệu Public_031 là gì?,B,B,✓,566
147,"Một mạch nối tiếp gồm R1 = 2Ω, R2 = 4Ω, R3 = 6Ω, dòng điện I = 4A. Hãy tính điện áp toàn mạch.",C,C,✓,186
148,Nguồn điện nào thường tạo ra điện áp một chiều (DC)?,A,A,✓,121
149,Định luật Ohm được phát biểu như thế nào?,B,B,✓,256
150,Dòng điện một chiều (DC) là gì và định luật Ohm liên quan như thế nào?,B,B,✓,361
151,Nội dung chính của tài liệu là gì?,B,B,✓,480
152,Một mạch có điện áp 12V và điện trở 6Ω. Hãy tính dòng điện chạy qua mạch theo định luật Ohm.,A,A,✓,128
153,Ai là người phát minh ra pin điện đầu tiên vào năm 1800?,B,B,✓,44
154,Dòng điện tử trong thực tế chảy theo chiều nào?,C,C,✓,149
155,Nguồn gốc dòng điện và hai giả thuyết về chiều dòng điện là gì?,B,B,✓,318
156,Nội dung chính của phần “Giới thiệu về điện” trong tài liệu Public_033 là gì?,B,B,✓,296
157,"Nếu một dầm dây dẫn có dòng điện 2000 mA chạy qua, giá trị này tương ứng với bao nhiêu ampe?",C,C,✓,150
158,"Theo tài liệu Public_034, photodiode hoạt động hiệu quả nhất khi được phân cực như thế nào?",A,A,✓,180
159,Ai là người đầu tiên đề xuất ý tưởng về phototransistor?,C,C,✓,82
160,Photodiode hoạt động như thế nào và khác gì với phototransistor?,A,A,✓,421
161,Nội dung chính của tài liệu Public_034 là gì?,B,B,✓,502
162,Một photodiode PIN cho dòng điện 1 µA trong điều kiện chiếu sáng phòng. Một phototransistor cùng điều kiện có dòng lớn hơn khoảng bao nhiêu lần?,D,D,✓,165
163,MAE loss còn có tên khác là gì,A,A,✓,125
164,"Theo tài liệu Public_035, điều gì xảy ra nếu learning rate quá nhỏ?",C,C,✓,142
165,"Trong bối cảnh linear regression đơn biến, mô hình được biểu diễn ra sao và mục tiêu của bài toán khi được mô hình hóa là gì?",B,B,✓,258
166,Những thành phần chính nào cấu thành mô hình hồi quy tuyến tính?,A,A,✓,492
167,Một trình tối ưu linear regression ghi nhận cost function tăng. Hành động hợp lý tiếp theo là gì?,D,D,✓,394
168,"Trong tài liệu Public_036, đâu không phải một ứng dụng của Image segmentation được đề cập?",D,C,✗,173
169,Mạng U-Net có mấy phần chính?,B,B,✓,201
170,"Theo tài liệu Public_036, có bao nhiêu loại bài toán segmentation và đó là những loại nào?",C,C,✓,216
171,"Theo tài liệu Public_036, mạng U-Net có những hạn chế hoặc điểm yếu nào khi áp dụng trong bài toán Image segmentation?",C,A,✗,505
172,"Xác định padding (p) và stride (s) khi tiến hành transposed convolution với input 4x4, kernel 3x3 để cho ra output 9x9",B,C,✗,490
173,Mô hình skip-gram ban đầu có bao nhiêu lớp ẩn (hidden layer)?,A,A,✓,158
174,Co-occurrence matrix có tính chất đối xứng gì và kích thước của ma trận này là bao nhiêu (với V là kích thước từ điển)?,B,C,✗,264
175,Khẳng định nào dưới đây không đúng với bối cảnh bài toán trong tài liệu Public_037?,B,B,✓,292
176,Đặc điểm của một vector không phải là one-hot encoding là gì?,"B,C",B,✗,444
177,"Trong số các mô hình mạng nơ-ron được đề cập trong tài liệu Public_038, mô hình nào không phải là một dạng của Mạng Nơ-ron Hồi quy (RNN)?",C,B,✗,336
178,Sinh mô tả ảnh thuộc vào dạng RNN nào?,A,A,✓,242
179,"Theo tài liệu Public_038, câu output của mô hình seq2seq sẽ có thêm mấy token và đó là những token nào?",D,D,✓,114
180,"Trong bối cảnh dịch máy, đâu là cách hiểu ""sản phẩm trung gian"" phù hợp với seq2seq?",D,D,✓,352
181,"Theo tài liệu Public_038, khẳng định nào dưới đây là đúng với cơ chế attention?",A,C,✗,328
182,Đâu không phải là một ứng dụng của GAN được nêu trong phần đầu tiên của tài liệu Public_039?,D,D,✓,288
183,GAN là viết tắt của?,A,A,✓,169
184,"GAN gồm bao nhiêu thành phần mạng và tên gọi của chúng, theo đúng thuật ngữ, là?",C,C,✓,232
185,Tóm tắt cách hoạt động của GAN?,B,B,✓,552
186,Đâu là một ví dụ được coi là tương đồng với cách thức huấn luyện của GAN?,A,A,✓,269
187,Khác biệt về kiến trúc của DCGAN và GAN?,B,B,✓,458
188,Input của Generator trong mạng tạo sinh đối kháng (GAN) là gì?,C,C,✓,266
189,Kích thước ảnh của CIFAR-10 và Fashion-MNIST là gì?,A,A,✓,193
190,Điểm chung giữa DCGAN và Conditional GAN là?,D,D,✓,414
191,"Đâu là yếu tố tạo nên ""Conditional"" trong Conditional GAN?",B,B,✓,449
192,Logistic regression có đầu ra là gì?,A,B,✗,325
193,Đâu là công thức của sigmoid?,C,C,✓,130
194,"Hàm mất mát Cross-Entropy biến thiên ra sao khi nhãn thực y_i lần lượt là 1 và 0, ứng với các giá trị xác suất dự đoán p_i?",D,D,✓,334
195,Điểm giống nhau cơ bản của logistic regression và linear regression là gì,A,A,✓,430
196,"Theo nguyên lý xác suất được trình bày trong tài liệu Public_041, đâu không phải là một khẳng định hợp lý?",C,C,✓,410
197,Mô hình neural network lấy cảm hứng từ?,B,B,✓,264
198,"Neural network bắt chước toàn bộ cơ chế hoạt động của hệ thần kinh, đúng hay sai?",A,A,✓,274
199,Ký hiệu phổ biến cho số đặc trưng trong một điểm dữ liệu và số điểm dữ liệu lần lượt là?,D,D,✓,154
200,Bài toán về toán tử bit nào là minh chứng cho việc cần xây dựng nhiều hơn một lớp ẩn?,C,C,✓,297
201,"Theo tài liệu Public_042, vì sao lại nên dùng hàm kích hoạt phi tuyến (non-linear activation)?",D,B,✗,430
202,Hệ màu RGB biểu diễn tất cả các màu khả kiến dưới dạng tổ hợp của ba màu gì?,A,A,✓,182
203,Tensor được chuyên dùng để mô tả dữ liệu theo mấy chiều,C,C,✓,249
204,Một pixel của ảnh xám có thể nhận giá trị tối thiểu và tối đa lần lượt là?,C,C,✓,124
205,Phép tích chập (convolution) gồm ba yếu tố chính là kernel và hai thành phần nào?,B,B,✓,228
206,"Sử dụng công thức quy đổi RGB sang ảnh xám (p = 0.299 * r + 0.587 * g + 0.114 * b, làm tròn tới hàng đơn vị) được đề cập trong tài liệu Public_043, hãy xác định giá trị pixel ảnh xám ứng với pixel ảnh RGB (100, 10, 1).",A,A,✓,208
207,Đâu là vấn đề trong xử lý ảnh mà CNN giải quyết tốt hơn so với các mạng nơ-ron truyền thống?,D,D,✓,461
208,Pooling layer được thiết kế để?,B,B,✓,298
209,Pooling layer của VGG16 có kích thước ra sao và hàm pool là?,C,C,✓,249
210,Tổng quát một CNN sẽ gồm hai phần chính nào sau đây?,A,A,✓,245
211,"Kết quả average pooling của hình vuông gồm 4 giá trị 15, 20, 30, 45 là?",B,B,✓,125
212,"Theo tài liệu Public_045, điểm chung của Transfer learning và data augmentation là gì?",B,B,✓,286
213,"Theo tài liệu Public_045, đâu không phải là một hình thức data augmentation cho ảnh?",D,D,✓,289
214,"Theo tài liệu Public_045, khi tiến hành phân lớp với nhiều hơn hai lớp, có bao nhiêu chiến lược tiếp cận? Hình thức của chúng là gì?",C,A,✗,156
215,"Trường hợp nào sau đây được đề xuất sử dụng Finetuning hơn là Feature extractor?
I. Dữ liệu lớn, khác dữ liệu pretrain
II. Dữ liệu nhỏ, khác dữ liệu pretrain
III. Dữ liệu nhỏ, giống dữ liệu pretrain
IV. Dữ liệu lớn, giống dữ liệu pretrain",C,D,✗,374
216,"Theo tài liệu Public_045, đâu không phải là khẳng định đúng giữa Finetuning và Feature extractor?",A,A,✓,382
217,Lợi ích chính của vectorization là gì,A,A,✓,356
218,"Theo tài liệu Public_046, giá trị p trong dropout thể hiện điều gì?",C,C,✓,204
219,"Theo tài liệu Public_046, khái niệm tiếng Việt cho bias và variance là gì?",C,C,✓,464
220,Đâu là mục tiêu chính của các phương pháp trong tài liệu Public_046?,D,D,✓,461
221,Một thuật toán gradient descent lấy ra 32 dữ liệu điểm mỗi lần tính đạo hàm thì thuộc loại gradient descent nào?,B,B,✓,173
222,Input của bài toán object detection là?,B,B,✓,190
223,Vấn đề chính của R-CNN là?,C,C,✓,241
224,IoU phụ thuộc vào hai toán tử tập hợp nào và công thức là gì?,D,A,✗,270
225,Các nguyên tắc cốt lõi và thành phần chính của các cách tiếp cận object detection là gì?,B,B,✓,625
226,"Trong ROI pooling, để tạo ra output có kích thước 4x4, mỗi vùng quan tâm (ROI) được chia thành bao nhiêu phân vùng con để thực hiện pooling?",D,D,✓,190
227,Bộ dữ liệu được sử dụng trong tài liệu Public_048 có bao nhiêu ảnh?,A,A,✓,25
228,Mô hình được sử dụng để huấn luyện trong tài liệu Public_048 là gì?,D,D,✓,120
229,"Trong tài liệu Public_048, có bao nhiêu phương pháp tăng cường dữ liệu đã được dùng và gồm những thao tác nào?",B,B,✓,230
230,Cách tiếp cận đã nêu trong tài liệu Public_048 có tiến hành đọc biển số hay không?,A,A,✓,238
231,Phân loại của bài toán được mô tả trong tài liệu Public_048 là gì?,C,C,✓,284
232,"Theo tài liệu Public_049, khái niệm được dùng để đại diện tập xác định của một biến là gì?",A,A,✓,309
233,"Theo tài liệu Public_049, thành phần nào không thuộc phạm vi quản lý của biến?",D,A,✗,190
234,Tên kiểu dữ liệu của ký tự ASCII và ký tự Unicode lần lượt là?,C,C,✓,84
235,Đâu không phải khẳng định đúng về các đặc tính của thuật toán được đề cập trong tài liệu Public_049?,C,C,✓,381
236,Phương trình toán học 3x + 4y + 5z = 6 có mấy biến?,A,A,✓,24
237,"Dựa vào tài liệu Public_050, từ nào điền vào chỗ trống sau: nếu hàm số f(x) bị ... bởi hằng số C nhân với g(x), ta nói f(x) có độ phức tạp O(g(x))?",B,B,✓,192
238,"Theo nguyên tắc tổng, f1(x) + f2(x) có độ phức tạp là?",A,A,✓,254
239,Độ phức tạp tuyến tính và giai thừa lần lượt có ký hiệu là?,C,C,✓,121
240,"Theo tài liệu Public_050, bước đầu tiên của quá trình tiếp cận bài toán là gì?",C,C,✓,152
241,Hai thuật toán được tiến hành kế tiếp nhau lần lượt có độ phức tạp O(n) và O(n^2). Độ phức tạp của chương trình là?,B,B,✓,240
