question_index,question,intent
24,"Theo tài liệu Public_006, các nhiệm vụ và quyền hạn của các thiết chế quản trị đại học ở Việt Nam được quy định trong luật nào?",tra_cuu
25,"Theo tài liệu Public_006, cơ quan nào có thẩm quyền cao nhất trong trường đại học?",tra_cuu
26,"Làm thế nào để ứng dụng công nghệ số trong quản trị đại học có thể bao quát toàn bộ hoạt động của nhà trường kịp thời và hỗ trợ ra quyết sách quản lý, điều hành hiệu quả?",tra_cuu
27,Nội dung chính của bài báo Public_006 là gì?,tra_cuu
28,"Theo số liệu trong tài liệu, đến nay ngành giáo dục đã số hóa dữ liệu của khoảng bao nhiêu giáo viên và học sinh?",tra_cuu
29,ISO 15189:2022 áp dụng cho đối tượng nào?,tra_cuu
30,"Theo tiêu chuẩn trong tài liệu Public_007, “khiếu nại” được định nghĩa như thế nào?",tra_cuu
31,"Trong các tiêu chuẩn ISO/IEC liên quan đến đo lường và đánh giá sự phù hợp, tiêu chuẩn nào cung cấp từ vựng quốc tế về đo lường và định nghĩa thuật ngữ độ chệch?",tra_cuu
32,Nội dung chính của tiêu chuẩn ISO 15189:2022 là gì?,tra_cuu
33,"Theo Public_007, “khoảng tham chiếu sinh học” thường được định nghĩa ở mức bao nhiêu phần trăm giá trị tập trung?",tra_cuu
34,Giám đốc phòng xét nghiệm theo ISO 15189:2022 có thể ủy quyền nhiệm vụ cho ai?,tra_cuu
35,ISO 15189:2022 yêu cầu thiết lập và theo dõi những chỉ số chất lượng nào?,tra_cuu
36,"Theo tài liệu Public_008, các yêu cầu đúng khi lựa chọn, vận hành và bảo dưỡng thiết bị phòng xét nghiệm là gì?",tra_cuu
37,Nội dung chính của phần tiêu chuẩn trong tài liệu là gì?,tra_cuu
38,"Nếu phòng xét nghiệm có 500 mẫu xét nghiệm trong tháng, trong đó có 25 mẫu bị từ chối, tỷ lệ từ chối mẫu là bao nhiêu?",tinh_toan
39,Học phần Những nguyên lý cơ bản của Chủ nghĩa Mác – Lênin thuộc khối kiến thức nào?,tra_cuu
40,Học phần Nhập môn ngành CNTT trang bị cho sinh viên những kỹ năng nào ngoài kiến thức chuyên ngành?,tra_cuu
41,"Học phần nào vừa giúp sinh viên năm nhất làm quen với môi trường đại học và kiến thức cơ bản ngành CNTT, vừa rèn luyện các kỹ năng mềm và chuẩn mực đạo đức cần thiết để trở thành kỹ sư công nghệ thông tin?",tra_cuu
42,Nội dung chính của tài liệu Public_009 là gì?,tra_cuu
43,"Theo quy định tại tài liệu Public_009, nếu một học phần có cấu trúc 3(2:1:6) thì số tiết lý thuyết, thực hành và tự học lần lượt là bao nhiêu?",tra_cuu
44,"Theo tiêu chuẩn ISO 15189:2022, việc lưu giữ hồ sơ phòng xét nghiệm nhằm mục đích chính nào?",tra_cuu
45,"Khi xảy ra sự không phù hợp, hành động đầu tiên mà phòng xét nghiệm phải thực hiện theo ISO 15189:2022 là gì?",tra_cuu
46,"Theo hướng dẫn về kiểm soát hồ sơ, phòng xét nghiệm phải đảm bảo điều gì khi sửa đổi hồ sơ?",tra_cuu
47,Nội dung chính của phần 8 trong tiêu chuẩn ISO 15189:2022 là gì?,tra_cuu
48,Mạng GAN (Global Area Network) là gì?,tra_cuu
49,Thành phần nào có chức năng giao tiếp giữa máy tính và đường truyền trong mạng máy tính?,tra_cuu
50,Mạng máy tính được phân loại theo những tiêu chí nào và Internet ban đầu ra đời từ mục đích gì?,tra_cuu
51,Nội dung chính của tài liệu Public_011 là gì?,tra_cuu
52,"Với một mạng kết nối 200 máy tính và có bán kính hoạt động 500m trong một tòa nhà, phân loại mạng chính xác nhất của nó là gì?",tra_cuu
53,Hệ điều hành có nhiệm vụ gì?,tra_cuu
54,"Theo tài liệu, ký hiệu đại diện * trong tên tệp có ý nghĩa gì?",tra_cuu
55,Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,tra_cuu
56,Nội dung chính của tài liệu là gì?,tra_cuu
57,"Nếu Windows XP quản lý cho phép đặt tên tập tin dài tối đa 255 ký tự, còn MS-DOS chỉ cho phép tối đa 8 ký tự, thì Windows XP dài hơn bao nhiêu ký tự?",tinh_toan
58,Thế hệ máy tính điện tử nào sử dụng bóng đèn điện tử chân không?,tra_cuu
59,Thuật ngữ “Tin học” (Informatics) lần đầu tiên được đề xuất bởi ai?,tra_cuu
60,Thông tin khác dữ liệu ở điểm nào và quá trình xử lý thông tin theo máy tính gồm những bước nào?,tinh_toan
61,Nội dung chính của tài liệu là gì?,tra_cuu
62,"Nếu một máy tính thế hệ 2 có tốc độ trung bình 50.000 phép tính/giây, thì nó nhanh gấp bao nhiêu lần so với máy thế hệ 1 tốc độ trung bình 1.000 phép tính/giây?",tinh_toan
63,Bit là viết tắt của từ gì?,tra_cuu
64,"Trong hệ đếm thập lục phân, ký tự “F” biểu diễn giá trị thập phân nào?",tra_cuu
65,"Trong máy tính, mọi dữ liệu được biểu diễn dưới dạng gì và đơn vị thông tin nhỏ nhất là gì?",tra_cuu
66,Nội dung chính của tài liệu là gì?,tra_cuu
67,"Nếu dùng 8 bit để biểu diễn số nguyên không dấu, giá trị lớn nhất có thể biểu diễn là bao nhiêu?",tinh_toan
68,Khối nào trong CPU có nhiệm vụ thực hiện các phép tính số học và logic?,tra_cuu
69,Bộ nhớ nào lưu trữ chương trình hệ thống và không bị mất dữ liệu khi tắt máy?,tra_cuu
70,CPU gồm những bộ phận chính nào và bộ nhớ chính của máy tính được chia thành những loại nào?,tinh_toan
71,Nội dung chính của tài liệu là gì?,tra_cuu
72,"Nếu một CPU có 36 bit địa chỉ, dung lượng tối đa của bộ nhớ chính mà nó quản lý được là bao nhiêu?",tinh_toan
73,Tiêu chuẩn TCVN 9395:2012 áp dụng cho loại cọc nào?,tra_cuu
74,Dung dịch khoan bentonite có vai trò chính gì trong thi công cọc khoan nhồi?,tra_cuu
75,"Theo TCVN 9395:2012, tiêu chuẩn này áp dụng cho loại cọc nào và từ đường kính bao nhiêu trở lên?",tra_cuu
76,Nội dung chính của tiêu chuẩn TCVN 9395:2012 là gì?,tra_cuu
77,"Nếu trong quá trình khoan, cao độ dung dịch khoan phải luôn cao hơn mực nước ngầm ít nhất 1,5 m, giả sử mực nước ngầm ở -10 m thì cao độ dung dịch khoan tối thiểu phải đạt bao nhiêu?",tinh_toan
78,"Theo TCVN 5574:2018, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện dựa trên những trạng thái giới hạn nào?",tra_cuu
79,Các loại bê tông nào được phép sử dụng khi thiết kế kết cấu theo TCVN 5574:2018?,tra_cuu
80,"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",tra_cuu
81,Nội dung chính của tiêu chuẩn TCVN 5574:2018 là gì?,tra_cuu
82,"Nếu một dầm bê tông cốt thép có nhịp 6 m, theo TCVN 5574:2018 độ võng tối đa cho phép là 1/150 nhịp, giá trị võng lớn nhất cho phép là bao nhiêu?",tinh_toan
83,Tiêu chuẩn TCVN 5574:2018 áp dụng cho những loại bê tông nào?,tra_cuu
84,Tiêu chuẩn TCVN 5574:2018 không áp dụng để thiết kế loại kết cấu nào sau đây?,tra_cuu
85,"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được tiến hành theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",tinh_toan
86,Nội dung chính của phần yêu cầu chung đối với kết cấu bê tông và bê tông cốt thép trong TCVN 5574:2018 là gì?,tra_cuu
87,"Nếu một cấu kiện bê tông làm việc trong môi trường xâm thực, theo TCVN 5574:2018, cần đảm bảo thêm yêu cầu gì ngoài an toàn và sử dụng bình thường?",tra_cuu
88,Bộ phận nào trong hệ thống chống sét có nhiệm vụ thu sét trực tiếp?,tra_cuu
89,Quốc gia nào là nước đầu tiên công bố Kế hoạch chiến lược trí tuệ nhân tạo quốc gia và vào năm nào?,tra_cuu
90,Nội dung chính của TCVN 9385:2012 là gì?,tra_cuu
91,"Một công trình cao 30 m cần bảo vệ chống sét trực tiếp. Theo bán kính bảo vệ của kim thu sét (r = 1,5h), bán kính bảo vệ tối đa là bao nhiêu?",tinh_toan
92,Chiều dày màng khô của lớp phủ chống cháy được xác định bằng cách nào?,tra_cuu
93,Loại đầu đo nhiệt nào được ưu tiên sử dụng trong thử nghiệm cấu kiện thép?,tra_cuu
94,"Theo quy định, chiều dày màng khô của vật liệu bảo vệ được đo bằng nguyên tắc nào và loại đầu đo nhiệt nào được ưu tiên sử dụng khi thử nghiệm trên cấu kiện thép?",tra_cuu
95,Nội dung chính của tài liệu là gì?,tra_cuu
96,"Theo quy định, cần bao nhiêu phép đo chiều dày tối thiểu trên dầm chịu tải?",tra_cuu
97,Bộ mã chuẩn nào đã được chọn cho tiếng Việt trong CNTT?,tra_cuu
98,"Trong xử lý ngôn ngữ, bài toán nào có mục tiêu chuyển văn bản thành tiếng nói?",tra_cuu
99,"Theo tài liệu Public_021, khi đo chiều dày màng khô của vật liệu bảo vệ, nguyên tắc nào được áp dụng và liệu có yêu cầu về đường kính vỏ bọc tối thiểu ưu tiên của đầu đo nhiệt liên quan đến quy trình này không?",tra_cuu
100,Nội dung chính của tài liệu là gì?,tra_cuu
101,"Theo đánh giá, hiện có bao nhiêu phần trăm dữ liệu không cấu trúc trong tổng lượng dữ liệu của loài người?",tra_cuu
102,Chiều dày lớp bảo vệ chịu lửa được định nghĩa như thế nào?,tra_cuu
103,"Theo tài liệu Public_022, các thử nghiệm chịu lửa được áp dụng cho những loại tiết diện thép nào và không áp dụng cho loại nào?",tra_cuu
104,Nội dung chính của tiêu chuẩn TCVN xxxx:202x là gì?,tra_cuu
105,"Theo quy định, mẫu thử nghiệm dầm chịu tải phải chịu tải trọng bằng bao nhiêu phần trăm sức kháng mô men thiết kế?",tra_cuu
106,Chiều dày vật liệu bọc bảo vệ dạng bản hoặc tấm được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,tra_cuu
107,"Đối với lớp phủ dạng phản ứng, độ dày trung bình được xác định như thế nào?",tra_cuu
108,Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,tinh_toan
109,Nội dung chính của tài liệu Public_023 là gì?,tra_cuu
110,Khối lượng riêng của vật liệu bảo vệ dạng thụ động được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,tra_cuu
111,"Theo tài liệu Public_024, thực phẩm được định nghĩa là gì?",tra_cuu
112,Thực phẩm giàu protein thường có trong nhóm nguyên liệu nào?,tra_cuu
113,Thực phẩm là gì? Thực phẩm chức năng dùng chủ yếu để làm gì?,tra_cuu
114,Nội dung chính của phần “Khái quát về thực phẩm và công nghệ thực phẩm” là gì?,tra_cuu
115,"Nếu một người tiêu dùng mua 100g bánh mì (giàu glucid ~50%) và 100g cá (giàu protein ~20%), thì lượng glucid và protein người đó nạp vào lần lượt là bao nhiêu gam?",tinh_toan
116,Định nghĩa của chiếu xạ thực phẩm trong tài liệu Public_025 là gì?,tra_cuu
117,Tia bức xạ nào hiện nay được sử dụng phổ biến trong công nghiệp thực phẩm?,tra_cuu
118,Chiếu xạ thực phẩm về mặt cơ sở khoa học là gì? Và mục đích công nghệ chủ yếu hiện nay của chiếu xạ thực phẩm là gì?,tra_cuu
119,Nội dung chính của phần “Chiếu xạ trong công nghiệp thực phẩm” là gì?,tra_cuu
120,"Nếu một loại trái cây được xử lý bằng liều chiếu xạ 2 kGy, trong khi mức 1 kGy không làm mất vitamin C còn mức 2–4 kGy làm giảm mạnh vitamin C, thì loại trái cây đó có nguy cơ bị giảm giá trị dinh dưỡng như thế nào?",tra_cuu
121,Xơ dệt được phân loại theo nguồn gốc thành mấy nhóm chính?,tra_cuu
122,"Theo tài liệu Public_026, thành phần chính của xơ len là gì?",tra_cuu
123,Nội dung chính của chương 1 trong tài liệu `Public_026` là gì?,tra_cuu
124,Nếu một sợi có chiều dài 1000 m và khối lượng 20 g thì chỉ số Tex của sợi đó bằng bao nhiêu?,tinh_toan
125,Thành phần chính của xơ bông là gì?,tra_cuu
126,Nhiệt độ chuyển mềm của len thường nằm trong khoảng nào?,tra_cuu
127,Nội dung chính của tài liệu Public_027 là gì?,tra_cuu
128,"Nếu sợi bông có độ ẩm hoàn toàn khô là 8 g, khi hút ẩm đạt khối lượng 8,8 g thì độ ẩm tương đối của sợi là bao nhiêu?",tinh_toan
129,Ai là những nhà khoa học được ghi nhận phát minh ra transistor lưỡng cực vào năm 1947?,tra_cuu
130,Transistor NPN có các cực được sắp xếp như thế nào?,tra_cuu
131,Transistor được tạo thành từ mấy lớp bán dẫn và ba người nào được ghi nhận là những nhà phát minh ra nó?,tra_cuu
132,Nội dung chính của tài liệu Public_028 là gì?,tra_cuu
133,"Nếu bộ phát (Emitter) bị pha tạp nặng, Base pha tạp nhẹ và Collector pha tạp vừa phải, thì vùng nghèo kiệt sẽ mở rộng nhiều hơn về phía nào?",tra_cuu
134,Vật liệu nào phổ biến nhất được sử dụng làm chất bán dẫn cơ bản?,tra_cuu
135,Quá trình thêm tạp chất vào chất bán dẫn để cải thiện tính dẫn điện gọi là gì?,tra_cuu
136,Chất bán dẫn tinh khiết là gì và hiện tượng pha tạp (doping) có tác dụng gì?,tinh_toan
137,Nội dung chính của tài liệu là gì?,tra_cuu
138,"Nếu một tinh thể silicon có tỷ lệ doping là 1 nguyên tử tạp chất trên 10 triệu nguyên tử Si, thì khi thêm 100 nguyên tử tạp chất, số nguyên tử Si xấp xỉ bao nhiêu?",tinh_toan
139,Đơn vị đo điện dung của tụ điện là gì?,tra_cuu
140,Hằng số điện môi ε₀ trong chân không có giá trị bao nhiêu?,tra_cuu
141,Tụ điện là gì và điện dung của tụ được tính theo công thức nào?,tra_cuu
142,Nội dung chính của tài liệu Public_030 là gì?,tra_cuu
143,"Một tụ điện phẳng có A = 10 m², d = 5 m, điện môi là không khí (εr = 1). Hãy tính điện dung C.",tinh_toan
144,Đơn vị đo điện trở là gì?,tra_cuu
145,Ký hiệu điện trở theo tiêu chuẩn IEC có dạng nào?,tra_cuu
146,Điện trở là gì và tại sao được gọi là linh kiện thụ động?,tra_cuu
147,Nội dung chính của tài liệu Public_031 là gì?,tra_cuu
148,"Một mạch nối tiếp gồm R1 = 2Ω, R2 = 4Ω, R3 = 6Ω, dòng điện I = 4A. Hãy tính điện áp toàn mạch.",tinh_toan
149,Nguồn điện nào thường tạo ra điện áp một chiều (DC)?,tra_cuu
150,Định luật Ohm được phát biểu như thế nào?,tra_cuu
151,Dòng điện một chiều (DC) là gì và định luật Ohm liên quan như thế nào?,tra_cuu
152,Nội dung chính của tài liệu là gì?,tra_cuu
153,Một mạch có điện áp 12V và điện trở 6Ω. Hãy tính dòng điện chạy qua mạch theo định luật Ohm.,tinh_toan
154,Ai là người phát minh ra pin điện đầu tiên vào năm 1800?,tra_cuu
155,Dòng điện tử trong thực tế chảy theo chiều nào?,tra_cuu
156,Nguồn gốc dòng điện và hai giả thuyết về chiều dòng điện là gì?,tra_cuu
157,Nội dung chính của phần “Giới thiệu về điện” trong tài liệu Public_033 là gì?,tra_cuu
158,"Nếu một dầm dây dẫn có dòng điện 2000 mA chạy qua, giá trị này tương ứng với bao nhiêu ampe?",tinh_toan
159,"Theo tài liệu Public_034, photodiode hoạt động hiệu quả nhất khi được phân cực như thế nào?",tra_cuu
160,Ai là người đầu tiên đề xuất ý tưởng về phototransistor?,tra_cuu
161,Photodiode hoạt động như thế nào và khác gì với phototransistor?,tra_cuu
162,Nội dung chính của tài liệu Public_034 là gì?,tra_cuu
163,Một photodiode PIN cho dòng điện 1 µA trong điều kiện chiếu sáng phòng. Một phototransistor cùng điều kiện có dòng lớn hơn khoảng bao nhiêu lần?,tra_cuu
164,MAE loss còn có tên khác là gì,tra_cuu
165,"Theo tài liệu Public_035, điều gì xảy ra nếu learning rate quá nhỏ?",tra_cuu
166,"Trong bối cảnh linear regression đơn biến, mô hình được biểu diễn ra sao và mục tiêu của bài toán khi được mô hình hóa là gì?",tra_cuu
167,Những thành phần chính nào cấu thành mô hình hồi quy tuyến tính?,tra_cuu
168,Một trình tối ưu linear regression ghi nhận cost function tăng. Hành động hợp lý tiếp theo là gì?,tra_cuu
169,"Trong tài liệu Public_036, đâu không phải một ứng dụng của Image segmentation được đề cập?",tra_cuu
170,Mạng U-Net có mấy phần chính?,tra_cuu
171,"Theo tài liệu Public_036, có bao nhiêu loại bài toán segmentation và đó là những loại nào?",tra_cuu
172,"Theo tài liệu Public_036, mạng U-Net có những hạn chế hoặc điểm yếu nào khi áp dụng trong bài toán Image segmentation?",tra_cuu
173,"Xác định padding (p) và stride (s) khi tiến hành transposed convolution với input 4x4, kernel 3x3 để cho ra output 9x9",tra_cuu
174,Mô hình skip-gram ban đầu có bao nhiêu lớp ẩn (hidden layer)?,tra_cuu
175,Co-occurrence matrix có tính chất đối xứng gì và kích thước của ma trận này là bao nhiêu (với V là kích thước từ điển)?,tra_cuu
176,Khẳng định nào dưới đây không đúng với bối cảnh bài toán trong tài liệu Public_037?,tra_cuu
177,Đặc điểm của một vector không phải là one-hot encoding là gì?,tra_cuu
178,"Trong số các mô hình mạng nơ-ron được đề cập trong tài liệu Public_038, mô hình nào không phải là một dạng của Mạng Nơ-ron Hồi quy (RNN)?",tra_cuu
179,Sinh mô tả ảnh thuộc vào dạng RNN nào?,tra_cuu
180,"Theo tài liệu Public_038, câu output của mô hình seq2seq sẽ có thêm mấy token và đó là những token nào?",tra_cuu
181,"Trong bối cảnh dịch máy, đâu là cách hiểu ""sản phẩm trung gian"" phù hợp với seq2seq?",tra_cuu
182,"Theo tài liệu Public_038, khẳng định nào dưới đây là đúng với cơ chế attention?",tra_cuu
183,Đâu không phải là một ứng dụng của GAN được nêu trong phần đầu tiên của tài liệu Public_039?,tra_cuu
184,GAN là viết tắt của?,tra_cuu
185,"GAN gồm bao nhiêu thành phần mạng và tên gọi của chúng, theo đúng thuật ngữ, là?",tra_cuu
186,Tóm tắt cách hoạt động của GAN?,tra_cuu
187,Đâu là một ví dụ được coi là tương đồng với cách thức huấn luyện của GAN?,tra_cuu
188,Khác biệt về kiến trúc của DCGAN và GAN?,tra_cuu
189,Input của Generator trong mạng tạo sinh đối kháng (GAN) là gì?,tra_cuu
190,Kích thước ảnh của CIFAR-10 và Fashion-MNIST là gì?,tra_cuu
191,Điểm chung giữa DCGAN và Conditional GAN là?,tra_cuu
192,"Đâu là yếu tố tạo nên ""Conditional"" trong Conditional GAN?",tra_cuu
193,Logistic regression có đầu ra là gì?,tra_cuu
194,Đâu là công thức của sigmoid?,tra_cuu
195,"Hàm mất mát Cross-Entropy biến thiên ra sao khi nhãn thực y_i lần lượt là 1 và 0, ứng với các giá trị xác suất dự đoán p_i?",tra_cuu
196,Điểm giống nhau cơ bản của logistic regression và linear regression là gì,tra_cuu
197,"Theo nguyên lý xác suất được trình bày trong tài liệu Public_041, đâu không phải là một khẳng định hợp lý?",tra_cuu
198,Mô hình neural network lấy cảm hứng từ?,tra_cuu
199,"Neural network bắt chước toàn bộ cơ chế hoạt động của hệ thần kinh, đúng hay sai?",tra_cuu
200,Ký hiệu phổ biến cho số đặc trưng trong một điểm dữ liệu và số điểm dữ liệu lần lượt là?,tra_cuu
201,Bài toán về toán tử bit nào là minh chứng cho việc cần xây dựng nhiều hơn một lớp ẩn?,tra_cuu
202,"Theo tài liệu Public_042, vì sao lại nên dùng hàm kích hoạt phi tuyến (non-linear activation)?",tra_cuu
203,Hệ màu RGB biểu diễn tất cả các màu khả kiến dưới dạng tổ hợp của ba màu gì?,tra_cuu
204,Tensor được chuyên dùng để mô tả dữ liệu theo mấy chiều,tra_cuu
205,Một pixel của ảnh xám có thể nhận giá trị tối thiểu và tối đa lần lượt là?,tra_cuu
206,Phép tích chập (convolution) gồm ba yếu tố chính là kernel và hai thành phần nào?,tra_cuu
207,"Sử dụng công thức quy đổi RGB sang ảnh xám (p = 0.299 * r + 0.587 * g + 0.114 * b, làm tròn tới hàng đơn vị) được đề cập trong tài liệu Public_043, hãy xác định giá trị pixel ảnh xám ứng với pixel ảnh RGB (100, 10, 1).",tra_cuu
208,Đâu là vấn đề trong xử lý ảnh mà CNN giải quyết tốt hơn so với các mạng nơ-ron truyền thống?,tra_cuu
209,Pooling layer được thiết kế để?,tra_cuu
210,Pooling layer của VGG16 có kích thước ra sao và hàm pool là?,tra_cuu
211,Tổng quát một CNN sẽ gồm hai phần chính nào sau đây?,tra_cuu
212,"Kết quả average pooling của hình vuông gồm 4 giá trị 15, 20, 30, 45 là?",tra_cuu
213,"Theo tài liệu Public_045, điểm chung của Transfer learning và data augmentation là gì?",tra_cuu
214,"Theo tài liệu Public_045, đâu không phải là một hình thức data augmentation cho ảnh?",tra_cuu
215,"Theo tài liệu Public_045, khi tiến hành phân lớp với nhiều hơn hai lớp, có bao nhiêu chiến lược tiếp cận? Hình thức của chúng là gì?",tra_cuu
216,"Trường hợp nào sau đây được đề xuất sử dụng Finetuning hơn là Feature extractor?
I. Dữ liệu lớn, khác dữ liệu pretrain
II. Dữ liệu nhỏ, khác dữ liệu pretrain
III. Dữ liệu nhỏ, giống dữ liệu pretrain
IV. Dữ liệu lớn, giống dữ liệu pretrain",tra_cuu
217,"Theo tài liệu Public_045, đâu không phải là khẳng định đúng giữa Finetuning và Feature extractor?",tra_cuu
218,Lợi ích chính của vectorization là gì,tra_cuu
219,"Theo tài liệu Public_046, giá trị p trong dropout thể hiện điều gì?",tra_cuu
220,"Theo tài liệu Public_046, khái niệm tiếng Việt cho bias và variance là gì?",tra_cuu
221,Đâu là mục tiêu chính của các phương pháp trong tài liệu Public_046?,tra_cuu
222,Một thuật toán gradient descent lấy ra 32 dữ liệu điểm mỗi lần tính đạo hàm thì thuộc loại gradient descent nào?,tra_cuu
223,Input của bài toán object detection là?,tra_cuu
224,Vấn đề chính của R-CNN là?,tra_cuu
225,IoU phụ thuộc vào hai toán tử tập hợp nào và công thức là gì?,tra_cuu
226,Các nguyên tắc cốt lõi và thành phần chính của các cách tiếp cận object detection là gì?,tra_cuu
227,"Trong ROI pooling, để tạo ra output có kích thước 4x4, mỗi vùng quan tâm (ROI) được chia thành bao nhiêu phân vùng con để thực hiện pooling?",tra_cuu
228,Bộ dữ liệu được sử dụng trong tài liệu Public_048 có bao nhiêu ảnh?,tra_cuu
229,Mô hình được sử dụng để huấn luyện trong tài liệu Public_048 là gì?,tra_cuu
230,"Trong tài liệu Public_048, có bao nhiêu phương pháp tăng cường dữ liệu đã được dùng và gồm những thao tác nào?",tra_cuu
231,Cách tiếp cận đã nêu trong tài liệu Public_048 có tiến hành đọc biển số hay không?,tra_cuu
232,Phân loại của bài toán được mô tả trong tài liệu Public_048 là gì?,tra_cuu
233,"Theo tài liệu Public_049, khái niệm được dùng để đại diện tập xác định của một biến là gì?",tra_cuu
234,"Theo tài liệu Public_049, thành phần nào không thuộc phạm vi quản lý của biến?",tra_cuu
235,Tên kiểu dữ liệu của ký tự ASCII và ký tự Unicode lần lượt là?,tra_cuu
236,Đâu không phải khẳng định đúng về các đặc tính của thuật toán được đề cập trong tài liệu Public_049?,tra_cuu
237,Phương trình toán học 3x + 4y + 5z = 6 có mấy biến?,tinh_toan
238,"Dựa vào tài liệu Public_050, từ nào điền vào chỗ trống sau: nếu hàm số f(x) bị ... bởi hằng số C nhân với g(x), ta nói f(x) có độ phức tạp O(g(x))?",tra_cuu
239,"Theo nguyên tắc tổng, f1(x) + f2(x) có độ phức tạp là?",tra_cuu
240,Độ phức tạp tuyến tính và giai thừa lần lượt có ký hiệu là?,tra_cuu
241,"Theo tài liệu Public_050, bước đầu tiên của quá trình tiếp cận bài toán là gì?",tra_cuu
242,Hai thuật toán được tiến hành kế tiếp nhau lần lượt có độ phức tạp O(n) và O(n^2). Độ phức tạp của chương trình là?,tra_cuu
243,"Dựa trên tài liệu Public_051, khái niệm nào không thuộc về thuật toán sinh?",tra_cuu
244,Nội dung của tài liệu Public_051 không bao gồm bài toán nào?,tra_cuu
245,Số hoán vị của N phần tử phân biệt là bao nhiêu và giá trị tương ứng khi N = 3 là?,tinh_toan
246,Đâu là cốt lõi của thuật toán đệ quy?,tra_cuu
247,"Bài toán liệt kê xâu nhị phân độ dài 6 phải trải qua bao nhiêu cấu hình, nếu biết số cấu hình cho độ dài n là 2^n?",tinh_toan
248,Đâu không phải một ví dụ duyệt được thực hiện bởi quay lui?,tra_cuu
249,"Trong bài toán N quân hậu, quân hậu ở hàng thứ i phải thỏa mãn điều gì?",tra_cuu
250,"Theo tài liệu Public_052, tên của thủ tục tiền xử lý và thủ tục chạy quay lui được gọi trong hàm main() lần lượt là gì?",tra_cuu
251,"Làm thế nào để áp dụng thuật toán quay lui để duyệt hoặc sinh ra một số tập con K phần tử cụ thể, thay vì duyệt toàn bộ các tập con K phần tử?",tra_cuu
252,Những điều kiện tiên quyết nào áp dụng cho việc sắp xếp dữ liệu?,tra_cuu
