index,question,intent,question_gen
14,Công nghệ in bê tông 3D được thực hiện theo quy trình nào?,tra_cuu,Công nghệ in bê tông 3D sử dụng loại tệp nào để nhập mô hình vào máy in?
15,Công nghệ nào được phát triển tại Đại học Loughborough (Anh)?,tra_cuu,Công nghệ nào được nghiên cứu và phát triển tại trường Đại học Loughborough?
16,"Công nghệ in bê tông 3D nào vừa cho phép kiểm soát tốt cấu trúc sản phẩm, vừa sử dụng bê tông cốt liệu sợi tổng hợp cường độ cao?",tra_cuu,Công nghệ in bê tông nào được phát triển để cải thiện khả năng kiểm soát cấu trúc và sử dụng vật liệu cường độ cao?
18,"Trong tài liệu, ưu điểm của công nghệ Contour Crafting so với Concrete Printing là gì?",tra_cuu,"Trong đoạn văn, điểm khác biệt chính giữa công nghệ Contour Crafting và Concrete Printing là gì?"
19,OCR là viết tắt của gì trong bài báo này?,tra_cuu,Nhận dạng ký tự quang học trong bài viết được viết tắt là gì?
20,"Giải pháp thử nghiệm tại Học viện Ngân hàng được lựa chọn là gì, theo tài liệu Public_005?",tra_cuu,Giải pháp nào được áp dụng thử nghiệm tại Học viện Ngân hàng theo tài liệu Public_005?
21,"Công nghệ nào vừa cho phép máy tính tự động nhận biết ký tự trên hình ảnh, vừa có khả năng đọc hiểu dữ liệu chữ viết tay và chữ in?",tra_cuu,"Công nghệ nào cho phép máy tính nhận diện và đọc hiểu ký tự trong hình ảnh, bao gồm cả chữ viết tay và chữ in?"
22,Nội dung chính của bài báo là gì?,tra_cuu,Các lược đồ thuật toán nào được đề cập trong đoạn văn?
23,"Theo tài liệu Public_005, tỷ lệ sai số theo đơn vị từ của FPT.AI Reader trong thử nghiệm là bao nhiêu?",tra_cuu,Tỷ lệ sai sót theo từng từ của FPT.AI Reader trong thử nghiệm là bao nhiêu phần trăm?
26,"Làm thế nào để ứng dụng công nghệ số trong quản trị đại học có thể bao quát toàn bộ hoạt động của nhà trường kịp thời và hỗ trợ ra quyết sách quản lý, điều hành hiệu quả?",tra_cuu,Làm thế nào công nghệ số có thể hỗ trợ các nhà quản lý tại trường đại học trong việc ra quyết định và điều hành hiệu quả?
28,"Theo số liệu trong tài liệu, đến nay ngành giáo dục đã số hóa dữ liệu của khoảng bao nhiêu giáo viên và học sinh?",tra_cuu,"Theo thông tin trong tài liệu, hiện ngành giáo dục đã số hóa dữ liệu của khoảng bao nhiêu giáo viên và học sinh?"
31,"Trong các tiêu chuẩn ISO/IEC liên quan đến đo lường và đánh giá sự phù hợp, tiêu chuẩn nào cung cấp từ vựng quốc tế về đo lường và định nghĩa thuật ngữ độ chệch?",tra_cuu,"Trong các tiêu chuẩn ISO/IEC liên quan đến đo lường và đánh giá sự phù hợp, tiêu chuẩn nào cung cấp từ vựng quốc tế về đo lường và các khái niệm cơ bản?"
33,"Theo Public_007, “khoảng tham chiếu sinh học” thường được định nghĩa ở mức bao nhiêu phần trăm giá trị tập trung?",tra_cuu,"Theo Public_007, khoảng tham chiếu sinh học thường được xác định ở mức bao nhiêu phần trăm của giá trị tập trung?"
34,Giám đốc phòng xét nghiệm theo ISO 15189:2022 có thể ủy quyền nhiệm vụ cho ai?,tra_cuu,Người nào có thể nhận nhiệm vụ hoặc trách nhiệm từ giám đốc phòng xét nghiệm theo ISO 15189:2022?
35,ISO 15189:2022 yêu cầu thiết lập và theo dõi những chỉ số chất lượng nào?,tra_cuu,ISO 15189:2022 yêu cầu phòng xét nghiệm phải thiết lập và giám sát các chỉ số nào để đánh giá hiệu suất quy trình xét nghiệm?
36,"Theo tài liệu Public_008, các yêu cầu đúng khi lựa chọn, vận hành và bảo dưỡng thiết bị phòng xét nghiệm là gì?",tra_cuu,Các yêu cầu nào cần được tuân thủ khi bảo trì và quản lý thiết bị trong phòng xét nghiệm?
37,Nội dung chính của phần tiêu chuẩn trong tài liệu là gì?,tra_cuu,Nội dung chủ yếu về tài liệu trong phần tiêu chuẩn đề cập đến điều gì?
39,Học phần Những nguyên lý cơ bản của Chủ nghĩa Mác – Lênin thuộc khối kiến thức nào?,tra_cuu,Học phần Những nguyên lý cơ bản của Chủ nghĩa Mác – Lênin thuộc chương trình nào?
40,Học phần Nhập môn ngành CNTT trang bị cho sinh viên những kỹ năng nào ngoài kiến thức chuyên ngành?,tra_cuu,"Học phần nào giúp sinh viên phát triển kỹ năng lãnh đạo, quản lý dự án và làm việc nhóm trong ngành CNTT?"
41,"Học phần nào vừa giúp sinh viên năm nhất làm quen với môi trường đại học và kiến thức cơ bản ngành CNTT, vừa rèn luyện các kỹ năng mềm và chuẩn mực đạo đức cần thiết để trở thành kỹ sư công nghệ thông tin?",tra_cuu,"Học phần nào cung cấp kiến thức cơ bản về phần cứng, phần mềm, lập trình và những kỹ năng mềm cần thiết cho sinh viên ngành CNTT?"
43,"Theo quy định tại tài liệu Public_009, nếu một học phần có cấu trúc 3(2:1:6) thì số tiết lý thuyết, thực hành và tự học lần lượt là bao nhiêu?",tra_cuu,"Theo cấu trúc học phần 3(2:1:6) trong tài liệu, số tiết lý thuyết, thực hành và tự học là bao nhiêu?"
44,"Theo tiêu chuẩn ISO 15189:2022, việc lưu giữ hồ sơ phòng xét nghiệm nhằm mục đích chính nào?",tra_cuu,"Theo tiêu chuẩn ISO 15189:2022, mục đích chính của việc lưu trữ hồ sơ phòng xét nghiệm là gì?"
45,"Khi xảy ra sự không phù hợp, hành động đầu tiên mà phòng xét nghiệm phải thực hiện theo ISO 15189:2022 là gì?",tra_cuu,Hành động đầu tiên mà phòng xét nghiệm cần thực hiện khi phát hiện sự không phù hợp là gì?
46,"Theo hướng dẫn về kiểm soát hồ sơ, phòng xét nghiệm phải đảm bảo điều gì khi sửa đổi hồ sơ?",tra_cuu,Phòng xét nghiệm cần lưu giữ những gì khi thực hiện sửa đổi hồ sơ?
48,Mạng GAN (Global Area Network) là gì?,tra_cuu,Mô hình nào trong GAN có nhiệm vụ sinh ra dữ liệu mới?
49,Thành phần nào có chức năng giao tiếp giữa máy tính và đường truyền trong mạng máy tính?,tra_cuu,Thiết bị nào đảm nhiệm vai trò kết nối giữa máy tính và phương tiện truyền thông trong mạng?
50,Mạng máy tính được phân loại theo những tiêu chí nào và Internet ban đầu ra đời từ mục đích gì?,tra_cuu,Mạng máy tính có thể được phân loại theo những cách nào và mục đích ban đầu của Internet là gì?
52,"Với một mạng kết nối 200 máy tính và có bán kính hoạt động 500m trong một tòa nhà, phân loại mạng chính xác nhất của nó là gì?",tra_cuu,"Mạng máy tính nào phù hợp với quy mô nhỏ, có bán kính hoạt động 500m và số lượng máy tính không quá nhiều?"
53,Hệ điều hành có nhiệm vụ gì?,tra_cuu,Hệ điều hành thực hiện chức năng gì trong quản lý tài nguyên máy tính?
55,Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,tra_cuu,Phiên bản Windows nào cho phép người dùng đặt tên tệp với độ dài lên đến 255 ký tự?
57,"Nếu Windows XP quản lý cho phép đặt tên tập tin dài tối đa 255 ký tự, còn MS-DOS chỉ cho phép tối đa 8 ký tự, thì Windows XP dài hơn bao nhiêu ký tự?",tinh_toan,"Nếu Windows 95 cho phép đặt tên tập tin tối đa 255 ký tự, thì giới hạn ký tự cho tên tập tin trong MS-DOS là bao nhiêu?"
58,Thế hệ máy tính điện tử nào sử dụng bóng đèn điện tử chân không?,tra_cuu,Thế hệ máy tính nào được hình thành trong khoảng thời gian từ 1950 đến 1958?
59,Thuật ngữ “Tin học” (Informatics) lần đầu tiên được đề xuất bởi ai?,tra_cuu,"Ai là người đầu tiên đề xuất thuật ngữ ""Tin học""?"
60,Thông tin khác dữ liệu ở điểm nào và quá trình xử lý thông tin theo máy tính gồm những bước nào?,tra_cuu,Quá trình xử lý thông tin bao gồm những giai đoạn nào và vai trò của máy tính trong việc lưu trữ thông tin là gì?
62,"Nếu một máy tính thế hệ 2 có tốc độ trung bình 50.000 phép tính/giây, thì nó nhanh gấp bao nhiêu lần so với máy thế hệ 1 tốc độ trung bình 1.000 phép tính/giây?",tinh_toan,Máy tính thế hệ 3 có tốc độ tính trung bình khoảng bao nhiêu phép tính/giây so với máy thế hệ 2 có tốc độ trung bình 50.000 phép tính/giây?
63,Bit là viết tắt của từ gì?,tra_cuu,Bit là viết tắt của từ gì trong tin học?
65,"Trong máy tính, mọi dữ liệu được biểu diễn dưới dạng gì và đơn vị thông tin nhỏ nhất là gì?",tra_cuu,"Trong máy tính, dữ liệu được biểu diễn bằng hệ thống nào và đơn vị thông tin nhỏ nhất là gì?"
67,"Nếu dùng 8 bit để biểu diễn số nguyên không dấu, giá trị lớn nhất có thể biểu diễn là bao nhiêu?",tinh_toan,"Nếu sử dụng 8 bit để biểu diễn số nguyên không âm, giá trị tối đa có thể đạt được là bao nhiêu?"
68,Khối nào trong CPU có nhiệm vụ thực hiện các phép tính số học và logic?,tra_cuu,Bộ phận nào trong CPU thực hiện phép toán và xử lý các phép logic?
69,Bộ nhớ nào lưu trữ chương trình hệ thống và không bị mất dữ liệu khi tắt máy?,tra_cuu,Bộ nhớ nào có khả năng lưu trữ dữ liệu lâu dài và không bị ảnh hưởng khi mất điện?
70,CPU gồm những bộ phận chính nào và bộ nhớ chính của máy tính được chia thành những loại nào?,tra_cuu,CPU bao gồm những thành phần chính nào và bộ nhớ chính của máy tính được phân chia thành những loại nào?
72,"Nếu một CPU có 36 bit địa chỉ, dung lượng tối đa của bộ nhớ chính mà nó quản lý được là bao nhiêu?",tinh_toan,"Nếu bộ xử lý Pentium III sử dụng 36 bit để đánh địa chỉ, dung lượng tối đa mà nó có thể quản lý được là bao nhiêu?"
73,Tiêu chuẩn TCVN 9395:2012 áp dụng cho loại cọc nào?,tra_cuu,Tiêu chuẩn TCVN 9395:2012 quy định về việc thi công và nghiệm thu loại cọc nào?
74,Dung dịch khoan bentonite có vai trò chính gì trong thi công cọc khoan nhồi?,tra_cuu,Dung dịch khoan bentonite cần được chuẩn bị với điều kiện gì để đảm bảo hiệu quả trong quá trình thi công cọc khoan nhồi?
75,"Theo TCVN 9395:2012, tiêu chuẩn này áp dụng cho loại cọc nào và từ đường kính bao nhiêu trở lên?",tra_cuu,"Theo TCVN 9395:2012, tiêu chuẩn này được áp dụng cho loại cọc nào và từ đường kính bao nhiêu trở lên?"
76,Nội dung chính của tiêu chuẩn TCVN 9395:2012 là gì?,tra_cuu,Nội dung cơ bản của tiêu chuẩn TCVN 9395:2012 liên quan đến điều gì về kết cấu bê tông?
78,"Theo TCVN 5574:2018, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện dựa trên những trạng thái giới hạn nào?",tra_cuu,"Theo TCVN 5574:2018, việc tính toán kết cấu bê tông và bê tông cốt thép cần dựa trên những trạng thái giới hạn nào liên quan đến ứng suất và biến dạng?"
79,Các loại bê tông nào được phép sử dụng khi thiết kế kết cấu theo TCVN 5574:2018?,tra_cuu,Các loại bê tông nào được sử dụng trong thiết kế kết cấu theo tiêu chuẩn TCVN 5574:2018?
80,"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",tra_cuu,"Theo TCVN 9379:2012, các trạng thái giới hạn nào cần được xem xét trong tính toán kết cấu bê tông và bê tông cốt thép để đảm bảo độ tin cậy trong suốt thời gian sử dụng?"
81,Nội dung chính của tiêu chuẩn TCVN 5574:2018 là gì?,tra_cuu,Nội dung chính của tiêu chuẩn TCVN 5574:2018 liên quan đến yêu cầu nào đối với kết cấu bê tông cốt thép?
83,Tiêu chuẩn TCVN 5574:2018 áp dụng cho những loại bê tông nào?,tra_cuu,Tiêu chuẩn TCVN 5574:2018 áp dụng cho những loại bê tông nào trong các kết cấu xây dựng?
84,Tiêu chuẩn TCVN 5574:2018 không áp dụng để thiết kế loại kết cấu nào sau đây?,tra_cuu,Tiêu chuẩn TCVN 5574:2018 không quy định yêu cầu thiết kế cho loại kết cấu nào dưới đây?
85,"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được tiến hành theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",tinh_toan,"Theo TCVN 9379:2012, trong suốt thời gian sử dụng công trình, tính toán kết cấu bê tông và bê tông cốt thép cần đảm bảo điều gì?"
86,Nội dung chính của phần yêu cầu chung đối với kết cấu bê tông và bê tông cốt thép trong TCVN 5574:2018 là gì?,tra_cuu,Nội dung chính của yêu cầu chung đối với kết cấu bê tông và bê tông cốt thép trong TCVN 5574:2018 bao gồm những gì?
87,"Nếu một cấu kiện bê tông làm việc trong môi trường xâm thực, theo TCVN 5574:2018, cần đảm bảo thêm yêu cầu gì ngoài an toàn và sử dụng bình thường?",tra_cuu,"Khi thiết kế kết cấu bê tông làm việc trong môi trường xâm thực, theo TCVN 5574:2018, cần đảm bảo yêu cầu nào ngoài độ bền lâu và an toàn?"
89,Quốc gia nào là nước đầu tiên công bố Kế hoạch chiến lược trí tuệ nhân tạo quốc gia và vào năm nào?,tra_cuu,Quốc gia nào đã công bố chiến lược trí tuệ nhân tạo quốc gia vào tháng 5 năm 2018?
90,Nội dung chính của TCVN 9385:2012 là gì?,tra_cuu,Nội dung chính của TCVN 9385:2012 bao gồm yêu cầu nào đối với kết cấu bê tông?
92,Chiều dày màng khô của lớp phủ chống cháy được xác định bằng cách nào?,tra_cuu,Chiều dày của lớp phủ chống cháy được đo bằng dụng cụ nào?
93,Loại đầu đo nhiệt nào được ưu tiên sử dụng trong thử nghiệm cấu kiện thép?,tra_cuu,Loại đầu đo nhiệt nào được khuyến nghị sử dụng với lớp vỏ bọc bằng thép không gỉ trong thử nghiệm cấu kiện thép?
94,"Theo quy định, chiều dày màng khô của vật liệu bảo vệ được đo bằng nguyên tắc nào và loại đầu đo nhiệt nào được ưu tiên sử dụng khi thử nghiệm trên cấu kiện thép?",tra_cuu,"Theo quy định, phương pháp nào được sử dụng để xác định độ dày màng khô của vật liệu bảo vệ trên cấu kiện thép?"
96,"Theo quy định, cần bao nhiêu phép đo chiều dày tối thiểu trên dầm chịu tải?",tra_cuu,"Theo quy định, cần bao nhiêu phép đo nhiệt độ tối thiểu trên dầm thử nghiệm?"
97,Bộ mã chuẩn nào đã được chọn cho tiếng Việt trong CNTT?,tra_cuu,Chuẩn mã hóa nào được quy định cho tiếng Việt trong lĩnh vực công nghệ thông tin?
98,"Trong xử lý ngôn ngữ, bài toán nào có mục tiêu chuyển văn bản thành tiếng nói?",tra_cuu,"Trong lĩnh vực xử lý ngôn ngữ, bài toán nào nhằm mục đích chuyển đổi dữ liệu văn bản thành âm thanh của con người?"
99,"Theo tài liệu Public_021, khi đo chiều dày màng khô của vật liệu bảo vệ, nguyên tắc nào được áp dụng và liệu có yêu cầu về đường kính vỏ bọc tối thiểu ưu tiên của đầu đo nhiệt liên quan đến quy trình này không?",tra_cuu,"Theo tài liệu Public_021, để xác định độ dày màng khô của vật liệu bảo vệ, thiết bị đo cần tuân theo nguyên tắc nào và đường kính tối thiểu của đầu dò là bao nhiêu?"
102,Chiều dày lớp bảo vệ chịu lửa được định nghĩa như thế nào?,tra_cuu,Chiều dày nào được xác định là chiều dày trung bình của lớp màng phủ khô trong hệ bảo vệ chịu lửa?
103,"Theo tài liệu Public_022, các thử nghiệm chịu lửa được áp dụng cho những loại tiết diện thép nào và không áp dụng cho loại nào?",tra_cuu,Các loại tiết diện thép nào được quy định trong tiêu chuẩn Public_022 cho các thử nghiệm chịu lửa và loại nào không được áp dụng?
106,Chiều dày vật liệu bọc bảo vệ dạng bản hoặc tấm được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,tra_cuu,Chiều dày của vật liệu bọc bảo vệ dạng bản hoặc tấm không được sai lệch quá bao nhiêu phần trăm so với giá trị trung bình?
107,"Đối với lớp phủ dạng phản ứng, độ dày trung bình được xác định như thế nào?",tra_cuu,"Đối với lớp phủ dạng phản ứng, cách xác định độ dày trung bình là gì?"
108,Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,tra_cuu,Phiên bản Windows nào được giới thiệu vào cuối năm 1995 và cho phép đặt tên tập tin tối đa 255 ký tự?
110,Khối lượng riêng của vật liệu bảo vệ dạng thụ động được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,tra_cuu,Chênh lệch tối đa giữa các giá trị khối lượng riêng của vật liệu bảo vệ không được vượt quá bao nhiêu % so với giá trị trung bình lớn nhất?
111,"Theo tài liệu Public_024, thực phẩm được định nghĩa là gì?",tra_cuu,"Theo tài liệu Public_024, thực phẩm được hiểu như thế nào?"
112,Thực phẩm giàu protein thường có trong nhóm nguyên liệu nào?,tra_cuu,Nhóm nguyên liệu nào thường chứa nhiều protein?
113,Thực phẩm là gì? Thực phẩm chức năng dùng chủ yếu để làm gì?,tra_cuu,Thực phẩm chức năng có vai trò gì trong việc bảo vệ sức khỏe?
116,Định nghĩa của chiếu xạ thực phẩm trong tài liệu Public_025 là gì?,tra_cuu,Chiếu xạ thực phẩm là gì theo tài liệu Public_025?
117,Tia bức xạ nào hiện nay được sử dụng phổ biến trong công nghiệp thực phẩm?,tra_cuu,Tia bức xạ nào hiện nay được áp dụng rộng rãi trong lĩnh vực sản xuất thực phẩm?
118,Chiếu xạ thực phẩm về mặt cơ sở khoa học là gì? Và mục đích công nghệ chủ yếu hiện nay của chiếu xạ thực phẩm là gì?,tra_cuu,Chiếu xạ thực phẩm là gì và mục đích chính của công nghệ này hiện nay là gì?
119,Nội dung chính của phần “Chiếu xạ trong công nghiệp thực phẩm” là gì?,tra_cuu,Nội dung chính về chiếu xạ trong sản xuất thực phẩm được nêu trong phần nào của đoạn văn?
120,"Nếu một loại trái cây được xử lý bằng liều chiếu xạ 2 kGy, trong khi mức 1 kGy không làm mất vitamin C còn mức 2–4 kGy làm giảm mạnh vitamin C, thì loại trái cây đó có nguy cơ bị giảm giá trị dinh dưỡng như thế nào?",tra_cuu,"Nếu một loại trái cây được chiếu xạ với liều 3 kGy, theo thông tin trong đoạn văn, vitamin C của loại trái cây đó sẽ thay đổi như thế nào?"
121,Xơ dệt được phân loại theo nguồn gốc thành mấy nhóm chính?,tra_cuu,Xơ dệt được chia thành mấy loại chính dựa trên nguồn gốc?
122,"Theo tài liệu Public_026, thành phần chính của xơ len là gì?",tra_cuu,"Theo tài liệu Public_026, thành phần chính của len là gì?"
123,Nội dung chính của chương 1 trong tài liệu `Public_026` là gì?,tra_cuu,Nội dung chính của chương 1 trong tài liệu `Public_056` trình bày những gì?
125,Thành phần chính của xơ bông là gì?,tra_cuu,Thành phần chủ yếu của xơ bông là gì?
129,Ai là những nhà khoa học được ghi nhận phát minh ra transistor lưỡng cực vào năm 1947?,tra_cuu,Ai là ba nhà khoa học được ghi nhận đã phát minh ra transistor vào năm 1947?
130,Transistor NPN có các cực được sắp xếp như thế nào?,tra_cuu,Cực nào của transistor NPN được kết nối với lớp P ở giữa?
131,Transistor được tạo thành từ mấy lớp bán dẫn và ba người nào được ghi nhận là những nhà phát minh ra nó?,tra_cuu,Transistor được cấu thành từ bao nhiêu lớp bán dẫn và ai là ba nhà khoa học được công nhận đã phát minh ra nó?
133,"Nếu bộ phát (Emitter) bị pha tạp nặng, Base pha tạp nhẹ và Collector pha tạp vừa phải, thì vùng nghèo kiệt sẽ mở rộng nhiều hơn về phía nào?",tra_cuu,"Nếu vùng Emitter có tạp chất nặng, Base tạp chất nhẹ và Collector tạp chất ở mức trung bình, thì vùng nghèo kiệt sẽ mở rộng chủ yếu về phía nào?"
134,Vật liệu nào phổ biến nhất được sử dụng làm chất bán dẫn cơ bản?,tra_cuu,Vật liệu nào được coi là chất bán dẫn cơ bản nhất?
135,Quá trình thêm tạp chất vào chất bán dẫn để cải thiện tính dẫn điện gọi là gì?,tra_cuu,Quá trình đưa các tạp chất vào chất bán dẫn nhằm nâng cao khả năng dẫn điện được gọi là gì?
136,Chất bán dẫn tinh khiết là gì và hiện tượng pha tạp (doping) có tác dụng gì?,tra_cuu,Chất bán dẫn tinh khiết có đặc điểm gì và quá trình thêm tạp chất có ảnh hưởng như thế nào đến khả năng dẫn điện của chúng?
139,Đơn vị đo điện dung của tụ điện là gì?,tra_cuu,Đơn vị đo lường khả năng lưu trữ điện tích của tụ điện là gì?
141,Tụ điện là gì và điện dung của tụ được tính theo công thức nào?,tra_cuu,Điện dung của tụ điện phụ thuộc vào yếu tố nào và công thức tính điện dung được biểu diễn như thế nào?
143,"Một tụ điện phẳng có A = 10 m², d = 5 m, điện môi là không khí (εr = 1). Hãy tính điện dung C.",tinh_toan,"Một tụ điện có diện tích A = 10 m² và khoảng cách giữa các bản cực d = 5 m, với môi trường là không khí. Tính toán giá trị của điện dung C."
144,Đơn vị đo điện trở là gì?,tra_cuu,Đơn vị đo điện trở được ký hiệu là gì?
145,Ký hiệu điện trở theo tiêu chuẩn IEC có dạng nào?,tra_cuu,Ký hiệu của điện trở theo tiêu chuẩn IEC được biểu thị bằng hình dạng nào?
146,Điện trở là gì và tại sao được gọi là linh kiện thụ động?,tra_cuu,Linh kiện điện tử nào tạo ra trở kháng và chỉ tiêu thụ năng lượng mà không sản sinh ra năng lượng?
148,"Một mạch nối tiếp gồm R1 = 2Ω, R2 = 4Ω, R3 = 6Ω, dòng điện I = 4A. Hãy tính điện áp toàn mạch.",tinh_toan,"Trong một mạch điện trở nối tiếp có R1 = 2Ω, R2 = 4Ω, R3 = 6Ω và dòng điện I bằng 4A. Tính tổng điện áp của mạch."
149,Nguồn điện nào thường tạo ra điện áp một chiều (DC)?,tra_cuu,Nguồn nào thường cung cấp điện áp một chiều?
150,Định luật Ohm được phát biểu như thế nào?,tra_cuu,"Mối quan hệ giữa dòng điện, điện áp và điện trở được định nghĩa trong định luật nào?"
151,Dòng điện một chiều (DC) là gì và định luật Ohm liên quan như thế nào?,tra_cuu,Dòng điện một chiều (DC) có đặc điểm gì về hướng chảy của các electron?
153,Một mạch có điện áp 12V và điện trở 6Ω. Hãy tính dòng điện chạy qua mạch theo định luật Ohm.,tinh_toan,Một mạch điện có điện áp 24V và dòng điện là 6A. Hãy xác định điện trở trong mạch.
155,Dòng điện tử trong thực tế chảy theo chiều nào?,tra_cuu,Chiều chảy của điện tử trong thực tế là từ đâu đến đâu?
156,Nguồn gốc dòng điện và hai giả thuyết về chiều dòng điện là gì?,tra_cuu,Hai hướng đi của dòng điện được mô tả trong đoạn văn là gì?
157,Nội dung chính của phần “Giới thiệu về điện” trong tài liệu Public_033 là gì?,tra_cuu,Nội dung chính của phần “Giới thiệu về điện” trong tài liệu Public_033 mô tả các thành phần nào cấu tạo nên nguyên tử?
159,"Theo tài liệu Public_034, photodiode hoạt động hiệu quả nhất khi được phân cực như thế nào?",tra_cuu,Photodiode hoạt động hiệu quả nhất khi được kết nối như thế nào?
160,Ai là người đầu tiên đề xuất ý tưởng về phototransistor?,tra_cuu,Ai là người đầu tiên đưa ra khái niệm về phototransistor?
161,Photodiode hoạt động như thế nào và khác gì với phototransistor?,tra_cuu,Photodiode được thiết kế để hoạt động trong kiểu phân cực nào?
163,Một photodiode PIN cho dòng điện 1 µA trong điều kiện chiếu sáng phòng. Một phototransistor cùng điều kiện có dòng lớn hơn khoảng bao nhiêu lần?,tinh_toan,Một phototransistor có dòng điện khoảng bao nhiêu microampere khi được chiếu sáng trong điều kiện phòng?
164,MAE loss còn có tên khác là gì,tra_cuu,L1 Loss là tên gọi khác của chỉ số mất mát nào?
165,"Theo tài liệu Public_035, điều gì xảy ra nếu learning rate quá nhỏ?",tra_cuu,"Nếu hệ số learning rate quá nhỏ, điều gì sẽ xảy ra trong quá trình tìm kiếm giá trị tối ưu của hàm số?"
170,Mạng U-Net có mấy phần chính?,tra_cuu,Mạng U-Net bao gồm mấy thành phần chính?
171,"Theo tài liệu Public_036, có bao nhiêu loại bài toán segmentation và đó là những loại nào?",tra_cuu,"Theo tài liệu Public_036, bài toán phân đoạn ảnh được phân loại thành mấy nhóm và đó là những nhóm nào?"
173,"Xác định padding (p) và stride (s) khi tiến hành transposed convolution với input 4x4, kernel 3x3 để cho ra output 9x9",tinh_toan,"Xác định giá trị của stride (s) và padding (p) trong transposed convolution với input 4x4, kernel 3x3 để đạt được output 9x9."
174,Mô hình skip-gram ban đầu có bao nhiêu lớp ẩn (hidden layer)?,tra_cuu,Mô hình Skip-Gram có bao nhiêu lớp ẩn trong cấu trúc của nó?
175,Co-occurrence matrix có tính chất đối xứng gì và kích thước của ma trận này là bao nhiêu (với V là kích thước từ điển)?,tra_cuu,Co-occurrence matrix là loại ma trận gì và có kích thước bao nhiêu với V là số lượng từ trong từ điển?
177,Đặc điểm của một vector không phải là one-hot encoding là gì?,tra_cuu,Những hạn chế nào của phương pháp one-hot encoding được nêu trong đoạn văn?
